!,,,,,,,,+++,,,,+++,+++,,,---,,,,
@@,act_id,agent,action,act_object,act_target,start,end,narrative_time,discussion,source,page,source_status,fictionality,commentary,note,id_lang,created,created_by,last_modified,last_modified_by
+++,A01639,P1030,AT15,AW09999,,1930..1935~,1930..1935~,,they have a portrait of Tolstoy in old age on the wall of their room,SS00600,81,3,F,unknown artwork AF01; a portrait of P0323,,NULL,2020-02-07,MG,2020-05-20,MG
+++,A01640,P1031,AT15,AW09999,,1930..1935~,1930..1935~,,they have a portrait of Tolstoy in old age on the wall of their room,SS00600,81,3,F,unknown artwork AF01; a portrait of P0323,,NULL,2020-02-07,MG,2020-05-20,MG
+++,A01641,P1032,AT61,PS00826,P1030,1930..1935~,1930..1935~,,,SS00600,110,3,F,,,NULL,2020-02-07,MG,2020-05-20,MG
+++,A01642,P1032,AT61,PS00827,P1030,1930..1935~,1930..1935~,,,SS00600,110,3,F,,,NULL,2020-02-07,MG,2020-05-20,MG
+++,A01643,P1032,AT61,PS00300,P1030,1930..1935~,1930..1935~,,,SS00600,110,3,F,,,NULL,2020-02-07,MG,2020-05-20,MG
+++,A01644,P1031,AT45,PS00331,,1930..1935~,1930..1935~,,,SS00600,113,3,F,,compare to engl. version p. 117: suspects that ‘someone’s been making love to her’.,NULL,2020-02-11,MG,2020-05-20,MG
+++,A01645,P1030,AT16,PS00249,,1930..1935~,1930..1935~,,she experiences reading as liberating,SS00600,115,3,F,,,NULL,2020-02-11,MG,2020-05-20,MG
+++,A01646,P1030,AT16,PS00827,,1930..1935~,1930..1935~,,she experiences reading as liberating,SS00600,115,3,F,,,NULL,2020-02-11,MG,2020-05-20,MG
+++,A01647,P1030,AT01,Q0021,,1930..1935~,1930..1935~,,,SS00600,116,3,F,,,NULL,2020-02-11,MG,2020-05-20,MG
+++,A01648,P1030,AT01,PS00186,,1930..1935~,1930..1935~,,,SS00600,116,3,F,,,NULL,2020-02-11,MG,2020-05-20,MG
+++,A01649,P1030,AT01,PS00828,,1930..1935~,1930..1935~,,,SS00600,116,3,F,,,NULL,2020-02-11,MG,2020-05-20,MG
+++,A01650,P0808,AT58,PS00228,I0119,1974,1974,,centered around the writers of the Li Yizhe group Sasha Gong and about 2 dozen others met once or twice a week to exchange books and ideas these were their favorites,SS00255,175,2,,,,NULL,2019-12-05,MG,2019-12-05,MG
+++,A01651,P0808,AT58,PS00707,I0119,1974,1974,,centered around the writers of the Li Yizhe group Sasha Gong and about 2 dozen others met once or twice a week to exchange books and ideas these were their favorites,SS00255,175,2,,,,NULL,2019-12-05,MG,2019-12-05,MG
+++,A01652,P0808,AT58,PS00024,I0119,1974,1974,,centered around the writers of the Li Yizhe group Sasha Gong and about 2 dozen others met once or twice a week to exchange books and ideas these were their favorites,SS00255,175,2,,,,NULL,2019-12-05,MG,2019-12-05,MG
+++,A01653,P1032,AT04,PS00830,,1930..1935~,1930..1935~,,talks about it as a guide for action,SS00600,152,3,F,,,NULL,2020-02-11,MG,2020-05-20,MG
+++,A01654,P1020,AT58,PS00812,I0120,1977,1977,,,SS00267,9,3,F,,,NULL,2019-12-05,MG,2019-12-05,MG
+++,A01655,P1030,AT01,PS00831,,1930..1935~,1930..1935~,,after supper,SS00600,212,3,F,,,NULL,2020-02-11,MG,2020-05-20,MG
+++,A01656,P1030,AT57,PS00838,,1930..1935~,1930..1935~,,she tries to read it,SS00600,230,3,F,,,NULL,2020-02-11,MG,2020-05-20,MG
+++,A01657,P0999,AT26,PS00840,,1930..1935~,1930..1935~,,landlord children like the book,SS00600,295,3,F,,,NULL,2020-02-11,MG,2020-05-20,MG
+++,A01658,P1030,AT22,PS00841,,1930..1935~,1930..1935~,,,SS00600,305,3,F,,,NULL,2020-02-11,MG,2020-05-20,MG
+++,A01659,P1030,AT61,PS00854,P1036,1930..1935~,1930..1935~,,,SS00600,377,3,F,,,NULL,2020-02-11,MG,2020-05-20,MG
+++,A01660,P1030,AT61,PS00249,P1036,1930..1935~,1930..1935~,,,SS00600,377,3,F,,,NULL,2020-02-11,MG,2020-05-20,MG
+++,A01661,P1030,AT61,PS00842,P1036,1930..1935~,1930..1935~,,,SS00600,377,3,F,,,NULL,2020-02-11,MG,2020-05-20,MG
+++,A01662,P1030,AT61,PS00843,P1036,1930..1935~,1930..1935~,,,SS00600,377,3,F,,,NULL,2020-02-11,MG,2020-05-20,MG
+++,A01663,P1030,AT22,Q0016,,1930..1935~,1930..1935~,,,SS00600,380,3,F,,,NULL,2020-02-11,MG,2020-05-20,MG
+++,A01664,P1036,AT01,PS00843,,1930..1935~,1930..1935~,,reads it one year later,SS00600,421,3,F,,,NULL,2020-02-11,MG,2020-05-20,MG
+++,A01665,P1030,AT19,PS00844,P1033,1930..1935~,1930..1935~,,,SS00600,444,3,F,,,NULL,2020-02-11,MG,2020-05-20,MG
+++,A01666,P1030,AT19,PS09999,P1033,1930..1935~,1930..1935~,,,SS00600,444,3,F,unknown work by: I0008 G26,,NULL,2020-02-11,MG,2020-05-20,MG
+++,A01667,P1030,AT01,PS00842,,1930..1935~,1930..1935~,,as part of her morning routine; reads for 2 hours,SS00600,512,3,F,,,NULL,2020-02-13,MG,2020-05-20,MG
+++,A01668,P0999,AT55,PS09999,,1930..1935~,1930..1935~,,read out at a meeting,SS00600,546,3,F,unknown work G55,,NULL,2020-02-13,MG,2020-05-20,MG
+++,A01669,P1056,AT13,PS00850,,1930..1935~,1930..1935~,,,SS00600,547,3,F,,,NULL,2020-02-13,MG,2020-05-20,MG
+++,A01670,P1056,AT17,PS00850,,1930..1935~,1930..1935~,,,SS00600,547,3,F,,,NULL,2020-02-13,MG,2020-05-20,MG
+++,A01671,P1035,AT20,AW00184,,1930..1935~,1930..1935~,,,SS00600,999,3,F,,check page number. Maybe 116-144,NULL,2020-02-11,MG,2020-05-20,MG
+++,A01672,P1031,AT17,Q0014,,1930..1935~,1930..1935~,,to himself,SS00600,144,3,F,,,NULL,2020-02-11,MG,2020-05-20,MG
+++,A01673,P1032,AT16,PS09999,,1930..1935~,1930..1935~,,,SS00600,149,3,F,unknown work by: P0157,,NULL,2020-02-11,MG,2020-05-20,MG
+++,A01674,P1030,AT05,PS00478,,1930..1935~,1930..1935~,,she hides her face behind the book,SS00600,160,3,F,,,NULL,2020-02-11,MG,2020-05-20,MG
+++,A01675,P1030,AT13,Q0019,,1930..1935~,1930..1935~,,she writes it into the sand,SS00600,33,3,F,,,NULL,2020-02-06,MG,2020-05-20,MG
+++,A01676,P1061,AT05,PS00087,,1967,1967,,This is while he listens to his wife who preaches him about how bad his class background is. He thinks to himself that his wife is not even allowed herself to read the Little Red Book.,SS00601,11,3,F,,,NULL,2020-02-24,MG,2020-02-24,MG
+++,A01677,P1060,AT11,PS00857,,1967~,1967~,,Bai is entrusted with translating the part about the trees and forests (so he says).,SS00601,23,3,F,,pls check act_start and end,NULL,2020-02-24,MG,2020-02-24,MG
+++,A01678,P1060,AT03,PS00857,P1059,1967~,1967~,,he lets her keep the book for now but tells her to be cautious.,SS00601,23,3,F,,pls check act_start and end,NULL,2020-02-24,MG,2020-02-24,MG
+++,A01679,P1060,AT19,PS00857,P1059,1967~,1967~,,"Bai and Ye are both appalled at the pointless environmental destruction that is taking place in the countryside with the high-speed cutting down of old trees.
Bai also explains that the book was published in 1962 in the West and become very influential. Bai wants to tell the Beijing leadership about the destruction.",SS00601,23,3,F,,pls check act_start and end,NULL,2020-02-24,MG,2020-02-24,MG
+++,A01680,I0008,AT06,PS00857,,1967~,1967~,,The book is being prepared for internal publication,SS00601,23,3,F,,pls check act_start and end,NULL,2020-02-24,MG,2020-02-24,MG
+++,A01681,P1059,AT16,PS00857,,1967~,1967~,,again an interaction with a book that was life transforming – 1) because of the contents of the book and 2) because of what happened…,SS00601,24,3,F,,pls check act_start and end,NULL,2020-02-24,MG,2020-02-24,MG
+++,A01682,P1059,AT01,PS00857,,1967~,1967~,,she is moved by reading the book: “Carson’s deep concern suffused the simple plain sentences.”,SS00601,23,3,F,,pls check act_start and end,NULL,2020-02-24,MG,2020-02-24,MG
+++,A01683,P1060,AT34,PS00857,,1967~,1967~,,he writes a letter which is similar to Silent Spring,SS00601,27,3,F,,pls check act_start and end,NULL,2020-02-24,MG,2020-02-24,MG
+++,A01684,P1060,AT13,PS09999,P1059,1967~,1967~,,he writes a letter,SS00601,27,3,F,,pls check act_start and end,NULL,2020-02-24,MG,2020-02-24,MG
+++,A01685,P1059,AT02,PS09999,,1967~,1967~,,Wenjie reads the letter Bai wrote and offers to handcopy it for him.,SS00601,27,3,F,,pls check act_start and end,NULL,2020-02-24,MG,2020-02-24,MG
+++,A01686,P1059,AT62,PS09999,,1967~,1967~,,She gets arrested because she allegedly authored the letter and owned Bai’s copy of the book,SS00601,29,3,F,,pls check act_start and end,NULL,2020-02-24,MG,2020-02-24,MG
+++,A01687,P1059,AT62,PS00857,,1967~,1967~,,She gets arrested because she allegedly authored the letter and owned Bai’s copy of the book,SS00601,29,3,F,,pls check act_start and end,NULL,2020-02-24,MG,2020-02-24,MG
+++,A01688,P1062,AT21,Q0022,,1967~,1967~,,“The British colonel apparently also understood Chinese. He nodded. ‘To be or not to be…’ he added in English. ‘It’s a matter of life and death.’”,SS00601,58,3,F,action takes place at L0004,pls check act_start and end,NULL,2020-02-24,MG,2020-02-24,MG
+++,A01689,P1058,AT21,Q0022,,1967~,1967~,,"Wang and Ding in conversation:“Ding you clearly know a lot more than I do. Can you tell me more? You really believe that the laws of physics are not invariant across time and space?”
“I don’t know anything.” Ding stared into Wang’s eyes for a long time. Finally; he said “But that is the question.”
Wang knew that he was only finishing what the British colonel had begun to say: To be or not to be: that is the question.",SS00601,74,3,F,,pls check act_start and end,NULL,2020-02-24,MG,2020-02-24,MG
+++,A01690,P1059,AT01,PS00858,,1966..1968,1966..1968,,This paper is crucial for her realization about extraterrestrial life,SS00601,281f,3,F,,,NULL,2020-02-24,MG,2020-02-24,MG
+++,A01691,P0999,AT31,PS09999,P1059,1976..1979,1976..1979,,Some village kids come with a textbook to Ye Wenjie to seek her help preparing for the National College Entrance Exams,SS00601,314,3,F,unknown work G20,,NULL,2020-02-24,MG,2020-02-24,MG
+++,A01692,P1065,AT22,PS00860,,1966..1976,1966..1976,,Watching P1064 eat reminds him of the story,SS00602,70,3,F,,,NULL,2020-05-19,MG,2020-05-19,MG
+++,A01693,P1065,AT47,PS00860,P1064,1966..1976,1966..1976,,'Because I’ve known hunger myself; I especially played up this sensation in my telling’.,SS00602,70,3,F,,,NULL,2020-05-19,MG,2020-05-19,MG
+++,A01694,P1064,AT40,PS09999,,1966..1976,1966..1976,,he asks the narrator to tell him another story about eating,SS00602,71,3,F,,,NULL,2020-05-19,MG,2020-05-19,MG
+++,A01695,P1064,AT26,PS00860,,1966..1976,1966..1976,,,SS00602,71,3,F,,,NULL,2020-05-19,MG,2020-05-19,MG
+++,A01696,P1065,AT49,PS00860,,1966..1976,1966..1976,,'It’s not a story about eating at all;’ I said annoyed. ‘It’s a story about life’.,SS00602,71,3,F,,,NULL,2020-05-19,MG,2020-05-19,MG
+++,A01697,P1065,AT47,PS00806,P1064,1966..1976,1966..1976,,,SS00602,71,3,F,,,NULL,2020-05-19,MG,2020-05-19,MG
+++,A01698,P1064,AT49,PS00806,,1966..1976,1966..1976,,WYS takes that not as a story about greed; not about eating,SS00602,71,3,F,,,NULL,2020-05-19,MG,2020-05-19,MG
+++,A01699,P1064,AT47,PS09999,P1065,1966..1976,1966..1976,,A story about a thrifty housewife who always set aside a bit of rice,SS00602,71f,3,F,,,NULL,2020-05-19,MG,2020-05-19,MG
+++,A01700,P1065,AT49,PS09999,,1966..1976,1966..1976,,A story about a thrifty housewife who always set aside a bit of rice. N: comments “It’s a story for teaching children to be frugal … This isn’t a story about eating.”,SS00602,71f,3,F,,,NULL,2020-05-19,MG,2020-05-19,MG
+++,A01701,P1065,AT05,PS00861,,1966..1976,1966..1976,,,SS00602,73,3,F,,,NULL,2020-05-19,MG,2020-05-19,MG
+++,A01702,P1064,AT01,PS09999,,1966..1976,1966..1976,,A hand-copied book on the art of chess,SS00602,74,3,F,,,NULL,2020-05-19,MG,2020-05-19,MG
+++,A01703,P1064,AT09,PS09999,,1966..1976,1966..1976,,A hand-copied book on the art of chess,SS00602,74,3,F,,,NULL,2020-05-19,MG,2020-05-19,MG
+++,A01704,P1064,AT12,PS09999,,1966..1976,1966..1976,,A hand-copied book on the art of chess,SS00602,74,3,F,,,NULL,2020-05-19,MG,2020-05-19,MG
+++,A01705,P1064,AT62,PS09999,,1966..1976,1966..1976,,A hand-copied book on the art of chess. For having this book on him (considered as one of the Four Olds; destroyed in front of him),SS00602,74,3,F,,,NULL,2020-05-19,MG,2020-05-19,MG
+++,A01706,P0999,AT27,PS09999,P1064,1966..1976,1966..1976,,A hand-copied book on the art of chess. Borrowed to him by an old srap paper collector > helps him learn; in this context there are references to Daoism,SS00602,74,3,F,,,NULL,2020-05-19,MG,2020-05-19,MG
+++,A01707,P1065,AT24,PS09999,,1966..1976,1966..1976,,complains about / suffers because of lack of books; movies etc,SS00602,81,3,F,'There’s enough money; and plenty of rice – that’s not bad – but there’s no oil … Mass cooking gives us a bellyache; The worse thing is that there’s no fun – no books; no electricity; no movies. It’s not easy to go anywhere either. We’re bored to death; stuck here beyond nowhere.’,,NULL,2020-05-20,MG,2020-05-20,MG
+++,A01708,P1065,AT24,AW09999,,1966..1976,1966..1976,,complains about / suffers because of lack of books; movies etc,SS00602,81,3,F,'There’s enough money; and plenty of rice – that’s not bad – but there’s no oil … Mass cooking gives us a bellyache; The worse thing is that there’s no fun – no books; no electricity; no movies. It’s not easy to go anywhere either. We’re bored to death; stuck here beyond nowhere.’,,NULL,2020-05-20,MG,2020-05-20,MG
+++,A01709,P1064,AT45,PS00806,,1966..1976,1966..1976,,,SS00602,81f,3,F,‚Or; like Pons? He had enough to eat and drink; he could easily have saved a little; but he suffered from greed. … People should know how to be satisfied – happiness is a full belly at every meal‘.,,NULL,2020-05-20,MG,2020-05-20,MG
+++,A01710,P1064,AT50,PS09999,,1966..1976,1966..1976,,,SS00602,81f,3,F,"'There’s enough money; and plenty of rice – that’s not bad – but there’s no oil … Mass cooking gives us a bellyache; The worse thing is that there’s no fun – no books; no electricity; no movies. It’s not easy to go anywhere either. We’re bored to death; stuck here beyond nowhere.‘
Wang Yisheng then answers: “You people! … you’ve been spoiled by books. The two stories you told me on the train, I’ve gone over them in my head many times; and actually I like them a lot. You’re not bad; you’ve read plenty of books. But in the end; where do books get you? Yes; a man struggles as hard as he can to stay alive and goes crazy; then gets better and goes on living; but how does he live after that? Or; like Pons? He had enough to eat and drink; he could easily have saved a little; but he suffered from greed. … People should know how to be satisfied – happiness is a full belly at every meal.",,NULL,2020-05-20,MG,2020-05-25,MG
+++,A01711,P1065,AT15,PS09999,,1966..1976,1966..1976,,the value of reading,SS00602,82,3,F,'So why was I always feeling discontent? Why did I have this urge to read anything could lay my hands on? And films – once the lights turned on it was right back to reality again; so what good was that? Still; there was a vague longing inside me; nothing I could put into words; though I felt it has something to do with living.’,,NULL,2020-05-25,MG,2020-05-25,MG
+++,A01712,P1065,AT15,AW09999,,1966..1976,1966..1976,,,SS00602,82,3,F,'So why was I always feeling discontent? Why did I have this urge to read anything could lay my hands on? And films – once the lights turned on it was right back to reality again; so what good was that? Still; there was a vague longing inside me; nothing I could put into words; though I felt it has something to do with living.’,,NULL,2020-05-25,MG,2020-05-25,MG
+++,A01713,P1065,AT15,PS09999,,1966..1976,1966..1976,,,SS00602,83,3,F,"'It seems that playing chess is a good thing. With reading you can’t keep turning the same book over and over in your mind; you keep wanting to read a new one. But with chess you can play around with all kinds of variations.’
Maybe this can be seen as literary statement: playing out variations such as the three kings-stories",,NULL,2020-05-25,MG,2020-05-25,MG
+++,A01714,P1065,AT29,PS09999,,1966..1976,1966..1976,,,SS00602,83,3,F,Some of the contemplations about the art of chess can also be read in reference to art in general,,NULL,2020-05-25,MG,2020-05-25,MG
+++,A01715,P1064,AT16,PS09999,,19xx,19xx,1,Reading inspired his passion for chess,SS00602,85,3,F,As a kid; he helped his mother fold paper for a printer – once that was a book on chess. As he had a look at the finished thing… ‘It sounds weird but I found it pretty absorbing. So the next time I was free I went into town to watch people play chess.’,,NULL,2020-05-25,MG,2020-05-25,MG
+++,A01716,P1065,AT05,PS09999,,1966..1976,1966..1976,,Reference to poetry as a sign for cultivation,SS00602,92,3,F,G10,,NULL,2020-05-25,MG,2020-05-25,MG
+++,A01717,P1065,AT05,PS09999,,1966..1976,1966..1976,,huge scroll with a poem by chairman Mao as decoration,SS00602,101,3,F,unknown work by P0174; G10,,NULL,2020-05-25,MG,2020-05-25,MG
+++,A01718,P1065,AT22,PS09999,,1966..1976,1966..1976,,recalls earlier readings,SS00602,114,3,F,unknown works. P1066 mentioned,,NULL,2020-05-25,MG,2020-05-25,MG
+++,A01719,P1065,AT22,PS09999,,1966..1976,1966..1976,,recalls earlier readings,SS00602,114,3,F,unknown works. P1067 mentioned,,NULL,2020-05-25,MG,2020-05-25,MG
+++,A01720,P1071,AT01,PS00087,,195x..196x,195x..196x,1,in primary school only read this. Only received primary education,SS00604,127,3,F,,,NULL,2020-05-28,MG,2020-05-28,MG
+++,A01721,P1069,AT63,PS00863,,1976,1976,,pocket size edition,SS00604,129,3,F,,,NULL,2020-05-28,MG,2020-05-28,MG
+++,A01722,P1068,AT05,AW00084,,1976,1976,,he has a poster of The Red Lantern in his new room. It shows P1075 with red lantern; lower half of the body wishing,SS00604,130,3,F,,,NULL,2020-05-28,MG,2020-05-28,MG
+++,A01723,P0999,AT03,PS09999,P1068,1976,1976,,a torn textbook. this textbook is then used throughout the story.,SS00604,131,3,F,unknown work: G20,,NULL,2020-05-31,MG,2020-05-31,MG
+++,A01724,P1068,AT40,PS09999,,1976,1976,,'Why can’t the state print enough books for everyone? It’s not like there’s a shortage of paper! The production team receives piles of Criticism and Study materials. Why can’t they print enough textbooks?’,SS00604,135,3,F,unknown work: G20,,NULL,2020-05-31,MG,2020-05-31,MG
+++,A01725,P1068,AT19,PS09999,P1069,1976,1976,,"'Hah! Officials without an office and schools without schoolbooks. Is going to school just a big joke then?’ …
‘Why can’t the state print enough books for everyone? It’s not like there’s a shortage of paper! The production team receives piles of Criticism and Study materials. Why can’t they print enough textbooks?’
Chen’s face became stern. ‘Mind what you’re saying; Mass criticism can’t be relaxed; it’s a ‘matter of national interest.’ If there’s a shortage of textbooks; it must be that the country’s in difficulties. A little copying here and there; and we can overcome. Correct?’ …
'Fine; let’s copy’",SS00604,135,3,F,unknown work: G20,check what word is use for copying here in the Chinese original,NULL,2020-05-31,MG,2020-05-31,MG
+++,A01726,P0999,AT02,PS09999,,1976,1976,,the students copy by hand (no choice) their lesson texts from the blackboard,SS00604,135ff,3,F,L0005,check page number,NULL,2020-05-31,MG,2020-05-31,MG
+++,A01727,P1070,AT56,PS00475,,1976,1976,,had received a prize in diligence for studying,SS00604,142,3,F,,,NULL,2020-05-31,MG,2020-05-31,MG
+++,A01728,P1070,AT63,PS09999,,1976,1976,,keeps an excercise book to record and count all characters learned,SS00604,142,3,F,,,NULL,2020-05-31,MG,2020-05-31,MG
+++,A01729,P1068,AT50,PS09999,,1976,1976,,He feels the kids should learn something more useful to their lives,SS00604,147,3,F,unknown work: G20,,NULL,2020-05-31,MG,2020-05-31,MG
+++,A01730,P1068,AT01,PS09999,,1976,1976,,the students compositions about their own lives,SS00604,147,3,F,,,NULL,2020-05-31,MG,2020-05-31,MG
+++,A01731,P1068,AT31,PS00863,,19xx,19xx,1,"He tells a storie about his teacher to his students: allenges his students to open any page – if there is not a single word they don’t know, ;hen they would not have to study any more
",SS00604,148,3,F,,,NULL,2020-05-31,MG,2020-05-31,MG
+++,A01732,P1073,AT27,PS00863,P1068,1976,1976,,,SS00604,149,3,F,For N’s promise to write lyrics for her song; small exchange on the value of the book,,NULL,2020-05-31,MG,2020-05-31,MG
+++,A01733,P1068,AT64,PS00863,,1976,1976,,,SS00604,156,3,F,,,NULL,2020-05-31,MG,2020-05-31,MG
+++,A01734,P1068,AT49,PS00863,,1976,1976,,And finds it ‘more absorbing than a novel’,SS00604,156,3,F,,,NULL,2020-05-31,MG,2020-05-31,MG
+++,A01735,P1068,AT19,PS09999,P0999,1976,1976,,the value of reading,SS00604,150f,3,F,'I agree with what you said: the basis of learning is reading and writing;’ Brownie said; sipping the liquor. ‘If you can read and write you can do anything.’  Also literacy,,NULL,2020-05-31,MG,2020-05-31,MG
+++,A01736,P1070,AT13,PS09999,,1976,1976,,his composition about his own live,SS00604,161,3,F,,,NULL,2020-05-31,MG,2020-05-31,MG
+++,A01737,P1068,AT55,PS09999,,1976,1976,,a student‘s composition,SS00604,161,3,F,by: P1070; L0005,,NULL,2020-05-31,MG,2020-05-31,MG
+++,A01738,P1068,AT54,PS09999,,1976,1976,,stops teaching the textbook,SS00604,161,3,F,unknown work: G20,,NULL,2020-05-31,MG,2020-05-31,MG
+++,A01739,P1068,AT90,PS00863,P1070,1976,1976,,,SS00604,168,3,F,,,NULL,2020-05-31,MG,2021-07-31,MG
+++,A01740,P1068,AT02,PS00863,,1976,1976,,,SS00604,168,3,F,,check what word is use for copying here in the Chinese original,NULL,2020-05-31,MG,2020-05-31,MG
+++,A01741,P1073,AT47,PS09999,,1976,1976,,she tells a story,SS00604,170,3,F,,,NULL,2020-05-31,MG,2020-05-31,MG
+++,A01742,P1070,AT02,PS00863,,1976,1976,,,SS00604,171,3,F,,,NULL,2020-05-31,MG,2020-05-31,MG
+++,A01743,P1070,AT09,PS00863,,1976,1976,,Handcopying as method for memorizing,SS00604,172,3,F,'copying makes it stick in my head‘,,NULL,2020-05-31,MG,2020-05-31,MG
+++,A01744,P1068,AT13,Q0023,,1976,1976,,,SS00604,174,3,F,the songtext he had promised to Laidi,,NULL,2020-05-31,MG,2020-05-31,MG
+++,A01745,P1068,AT03,Q0023,P1073,1976,1976,,,SS00604,174,3,F,,,NULL,2020-05-31,MG,2020-05-31,MG
+++,A01746,P1073,AT32,Q0023,,1976,1976,,,SS00604,174,3,F,,,NULL,2020-05-31,MG,2020-05-31,MG
+++,A01747,P0999,AT28,AW09999,,1976,1976,,,SS00604,175,3,F,,,NULL,2020-05-31,MG,2020-05-31,MG
+++,A01748,P0999,AT40,PS09999,,1976,1976,,Expect to be called to write about the film,SS00604,175,3,F,'Last night’s film? … The newspapers have been commenting on it for years; what’s the point of you writing about it?’,,NULL,2020-05-31,MG,2020-05-31,MG
+++,A01749,P1077,AT65,PS00864,,1966..1971,1966..1971,,He took along his mother’s set of books; the parents keeping his father’s reading as a precondition for a good future,SS00605,6,3,F,This serves to introduce Li Li as ideologically firmly on the official line!,,NULL,2020-06-27,MG,2020-06-27,MG
+++,A01750,P1077,AT65,PS00865,,1966..1971,1966..1971,,He took along his mother’s set of books; the parents keeping his father’s reading as a precondition for a good future,SS00605,6,3,F,This serves to introduce Li Li as ideologically firmly on the official line!,,NULL,2020-06-27,MG,2020-06-27,MG
+++,A01751,P1077,AT65,PS00478,,1966..1971,1966..1971,,He took along his mother’s set of books; the parents keeping his father’s reading as a precondition for a good future,SS00605,6,3,F,This serves to introduce Li Li as ideologically firmly on the official line!,,NULL,2020-06-27,MG,2020-06-27,MG
+++,A01752,P1077,AT65,PS00555,,1966..1971,1966..1971,,He took along his mother’s set of books; the parents keeping his father’s reading as a precondition for a good future,SS00605,6,3,F,This serves to introduce Li Li as ideologically firmly on the official line!,,NULL,2020-06-27,MG,2020-06-27,MG
+++,A01753,P1077,AT65,PS00087,,1966..1971,1966..1971,,He took along his mother’s set of books; the parents keeping his father’s reading as a precondition for a good future,SS00605,6,3,F,This serves to introduce Li Li as ideologically firmly on the official line!,,NULL,2020-06-27,MG,2020-06-27,MG
+++,A01754,P1077,AT65,PS00866,,1966..1971,1966..1971,,He took along his mother’s set of books; the parents keeping his father’s reading as a precondition for a good future,SS00605,6,3,F,This serves to introduce Li Li as ideologically firmly on the official line!,The presence of the Lin Biao books clearly marks the story as taking place early in the rustication movement; before the 1971 Lin Biao affair.,NULL,2020-06-27,MG,2020-06-27,MG
+++,A01755,P1077,AT65,PS09999,,1966..1971,1966..1971,,He took along his mother’s set of books; the parents keeping his father’s reading as a precondition for a good future,SS00605,6,3,F,several volumes; unknown work by P0174; G24 ; This serves to introduce Li Li as ideologically firmly on the official line!,,NULL,2020-06-27,MG,2020-06-27,MG
+++,A01756,P1077,AT65,PS00475,,1966..1971,1966..1971,,He took along his mother’s set of books; the parents keeping his father’s reading as a precondition for a good future,SS00605,6,3,F,This serves to introduce Li Li as ideologically firmly on the official line!,,NULL,2020-06-27,MG,2020-06-27,MG
+++,A01757,P1080,AT05,PS00475,,1966..1971,1966..1971,,he picks it up,SS00605,6,3,F,'Suppressing our grins; we told him that it was the Selected Works of Mao Zedong. He replied that he already owned two sets of Mao’s works and would prefer something new; so Li Li took out another book for him’,,NULL,2020-06-27,MG,2020-06-27,MG
+++,A01758,P1077,AT03,PS09999,P1080,1966..1971,1966..1971,,,SS00605,6,3,F,unknown work; one of the books Li Li  had brought along,,NULL,2020-06-27,MG,2020-06-27,MG
+++,A01759,P1076,AT01,PS09999,,1950..1966~,1950..1966~,1,,SS00605,21,3,F,unknown work on sharpening knives,"Sharpening knives is his special ability within the team – through that he gets to know Knotty better; and emphasizes physical abilities; connection to the destruction over intellectual abilities;I guess
",NULL,2020-06-27,MG,2020-06-27,MG
+++,A01760,P1077,AT21,Q0030,,1966..1971,1966..1971,,,SS00605,34,3,F,,,NULL,2020-06-27,MG,2020-06-27,MG
+++,A01761,P1077,AT21,Q0031,,1966..1971,1966..1971,,,SS00605,34,3,F,,,NULL,2020-06-27,MG,2020-06-27,MG
+++,A01762,P1077,AT21,Q0032,,1966..1971,1966..1971,,,SS00605,34,3,F,,,NULL,2020-06-27,MG,2020-06-27,MG
+++,A01763,P1076,AT55,PS00525,P1080,1966..1971,1966..1971,,The scene where Song Jiang kills his wife.,SS00605,36,3,F,'In the city these books were classed as one of the Four Olds and had disappeared without a trace. I never expected to come across a copy here in the wilds; beneath the dim lamplight; the book seemed like a remote memory. I felt the exhaustion of the past few years of revolution in contrast to this old story of murder that was like an unhurried ballad; comforting people.’,A torn lianhuanhua edition – title page apparently missing,NULL,2020-06-27,MG,2020-06-27,MG
+++,A01764,P1076,AT49,PS00525,,1966..1971,1966..1971,,,SS00605,36,3,F,'In the city these books were classed as one of the Four Olds and had disappeared without a trace. I never expected to come across a copy here in the wilds; beneath the dim lamplight; the book seemed like a remote memory. I felt the exhaustion of the past few years of revolution in contrast to this old story of murder that was like an unhurried ballad; comforting people.’,,NULL,2020-06-27,MG,2020-06-27,MG
+++,A01765,P1080,AT05,PS00525,,1966..1971,1966..1971,,he stores candy wrappings among the pages of his Water Margin copy,SS00605,41,3,F,,The candy wrappings are precious to him,NULL,2020-06-27,MG,2020-06-27,MG
+++,A01766,P1078,AT66,PS09999,,1966..1971,1966..1971,,he looks at an exercise book covered with numbers,SS00605,50,3,F,unknown work. G20,,NULL,2020-06-27,MG,2020-06-27,MG
+++,A01767,P0999,AT21,Q0033,,1967,1967,,,SS00606,32,3,F,"The quotation is from a Jiang Qing speech dated in the story Sept. 5, 1967; and works as a kind of motto to the story: transformation of the artist into a fighter",reading act refers to a German translation of this quotation,NULL,2020-07-08,MG,2020-08-05,MG
+++,A01768,P1086,AT21,Q0033,,1967,1967,,in self-defense,SS00606,34,3,F,,reading act refers to a German translation of this quotation,NULL,2020-07-08,MG,2020-08-05,MG
+++,A01769,P1086,AT21,Q0034,,1967,1967,,is challenged to quote (with a weapon),SS00606,35,3,F,,reading act refers to a German translation of this quotation,NULL,2020-07-08,MG,2020-08-05,MG
