!,,,,,,,,+++,---,,,,---,---,,,+++,,,,
@@,act_id,agent,action,act_object,act_target,start,end,site_information,narrative_time,discussion,source,page,source_status,fictionality,commentary,note,id_lang,created,created_by,last_modified,last_modified_by
->,A00479,P0180->AG0156,AT05,PS00370->W0200,,1966,1976,,,Song Yongyi mentions it as one of the most important grey-covered books during the CR.,SS00108->W0435,327,,,,,en,2018-08-04,DM,2018-08-04->2020-04-04,DM->DP
->,A00480,P0437->AG0399,AT16,PS00370->W0200,,1966,1976,,,"Song Yongyi quotes Gao Ruiquan as folllws: “One Chinese scholar, Gao Ruiquan, described how shocked he was when he first read William Lawrence Shirer’s The Rise and Fall of the Third Reich: A History of Nazi Germany: ‘It was like a flash of light across the night sky’. He instantly compared the German fascist movement with China’s Cultural Revolution and found that both led to the same ‘road for ruining a nation though they all obtained fanatical support from the masses at the outset’.”",SS00108->W0435,327,,,,,en,2018-08-04,DM,2018-08-04->2020-04-04,DM->DP
->,A00481,P0020->AG0020,AT01,PS00370->W0200,,197x,197x,,,Gao Hua admits that of all the books he read in the mid-1970s it was this book and the memoirs of Khrushchev that impressed him most.,SS00006->W0420,136,,,,,en,2018-08-04,DM,2018-08-04->2020-04-04,DM->DP
->,A00482,P0107->AG0104,AT05,PS00370->W0200,,196x,197x,,,Wang Shiqiang mentions the book as one of the more popular ‘gray cover books’ of the CR.,SS00011->W0423,78,,,,,en,2018-08-04,DM,2018-08-04->2020-04-04,DM->DP
->,A00483,P0106->AG0103,AT05,PS00370->W0200,,196x,197x,SP0055,,"Han Shaogong mentions that a certain Mr. Yi (易某) was talking with him about the history of militaria and wars, basing his knowledge probably on having read PS00370.",SS00005->W0419,571,,,,,en,2018-08-04,DM,2018-08-04->2020-12-19,DM->MG
->,A00484,P0133->AG0118,AT05,PS00370->W0200,,1979,1982,SP0446,,Bo Hua describes a reading group he was part of in middle school,SS00154->W0476,532,,,,,en,2018-08-04,DM,2018-08-04->2020-12-19,DM->MG
->,A00485,P0348->AG0310,AT05,PS00370->W0200,,1971,1980,,,,SS00270->W0514,172,,,,,en,2018-08-04,DM,2018-08-04->2020-04-04,DM->DP
->,A00486,P0139->AG0124,AT05,PS00370->W0200,,1966,1976,,,Xiao Xiao mentions it as one of the most important neibu books of the CR,SS00152->W0474,8,,,,,en,2018-08-04,DM,2018-08-04->2020-04-04,DM->DP
->,A00487,P0138->AG0123,AT05,AW09999->W0554,,1966?,1976,,,Bao Kun names Shishkin as one of the Russian painters who were mentioned most often as examples to follow in seminars at Beijing’s Art Academy.->Bao Kun names Shishkin as one of the Russian painters who were mentioned most often as examples to follow in seminars at Beijing’s Art Academy (SP0005.),SS00044->W0431,197,,,unknown work by: P0438->unknown work by: AG0400,,en,2018-08-05,DM,2018-08-05->2020-12-19,DM->MG
->,A00488,P0020->AG0020,AT05,PS00371->W0201,,197x,197x,,,"Gao Hua writes that he has preserved the pocket edition of this book till present day. Gao Hua said that at Prof. 刘妮娜's home (Russian-born Prof. 刘妮娜, Department of Foreign Languages, Nanjing University) he forgot about the real world and immersed himself in the world of Russian literature. He also mentioned that the warm and comfort atmosphere that he enjoyed at her place is still in his memories.->Gao Hua writes that he has preserved the pocket edition of this book till present day. Gao Hua said that at Prof. 刘妮娜's home (Russian-born Prof. 刘妮娜, Department of Foreign Languages, Nanjing University (SP0093)) he forgot about the real world and immersed himself in the world of Russian literature. He also mentioned that the warm and comfort atmosphere that he enjoyed at her place is still in his memories.",SS00006->W0420,137,,,,,en,2018-08-05,DM,2018-08-05->2020-12-19,DM->MG
->,A00489,P0042->AG0042,AT22,PS00371->W0201,,1956,1976,,,"Lin Da quotes Cao Ying, the translator of Solokhov’s book, as follows: ""I was particularly moved by reading ‘Destiny of a Man’ in 1956, and immediately translated it into Chinese. [This interest] was also motivated by my having a deeper feeling about the anti-fascist war, I sincerely hope that human beings will no longer be affected by such atrocities. Yet I never thought that ‘Destiny of a Man’ will be deemed a poisonous weed. I was then persecuted in the Cultural Revolution for the translation of Sholokhov's works and I was on the verge of life and death twice… I was called ‘Sholokhov’s Man in China’ and 'Sholokhov's praiser’.”",SS00061->W0433,ONLINE SOURCE,,,,,en,2018-08-05,DM,2018-08-05->2020-04-04,DM->DP
->,A00490,P0120->AG0114,AT27,PS00259->W0131,,19XX,19XX,,,Zhang Yang uses PS000259 as a metaphor to describe the atmosphere of a scene.,SS00030->W0429,30,,,,,en,2018-08-06,DM,2018-08-06->2020-04-04,DM->DP
->,A00491,P0131->AG0116,AT01,PS00372->W0202,,1979,1979,SP0001,,The author has nothing to do during the summer vacation. He reads in the library during the day and takes notes in the meeting room at night.,SS00153->W0475,562,2,,,,en,2018-11-15,DM,2019-08-24->2020-12-19,WH->MG
->,A00492,P0054->AG0053,AT01,PS00373->W0203,,1950..196x,1950..196x,,,he was interested in the classics and read them a lot,SS00136->W0458,ONLINE SOURCE,2,,,Added by CW and JH transferred without rechecking requires further checks,en,2018-11-15,DM,2018-11-15->2020-04-04,DM->DP
->,A00493,P0212->AG0188,AT05,PS00373->W0203,,19xx,19xx,,,unknown,SS00131->W0454,ONLINE SOURCE,2,,All data missing in the original dataset,This work probably not exist in the original text please check again.,en,2018-11-15,DM,2019-08-24->2020-04-04,WH->DP
->,A00494,P0106->AG0103,AT23,PS00373->W0203,,196x,197x,SP0055,,The author heard many stories from an educated youth in his team and those were mainly from these classic works,SS00005->W0419,571,2,,,,en,2018-11-15,DM,2018-11-15->2020-12-19,DM->MG
->,A00495,P0029->AG0029,AT17,PS00374->W0204,,1966,,,,The author recites this item.,SS00029->W0428,120,2,,,,en,2018-11-15,DM,2019-08-24->2020-04-04,WH->DP
->,A00496,P0038->AG0038,AT05,PS00375->W0205,P0119->AG0113,1971,1971,SP0009,,Huang Xiaolong was secretly mocking his supervisor Wang while he was showing off his knowledge of classical Chinese literature,SS00026->W0426,ONLINE SOURCE,2,,The text recorded the author's experience in a fishing grounds in Sichuan in 1971. Desipte the fact that the high peak of violence in the CR came to an end the checking out the May 16th components just started,->read during rustication?,en,2018-11-17,DM,2018-11-17->2020-12-19,DM->MG
->,A00497,P0056->AG0055,AT06,PS00376->W0206,,1950s,1950s,,,Gu Jiegang was commissioned by Mao Zedong to take charge of the punctuation of this book,SS00131->W0454,ONLINE SOURCE,2,,The text records several prominent historians' experiences during the CR,,en,2018-11-17,DM,2018-11-17->2020-04-04,DM->DP
->,A00498,P0139->AG0124,AT05,PS00377->W0207,,1966,1976,,,Xiao Xiao mentions it as one of the most important neibu books of the CR,SS00152->W0474,7-10,2,,,,en,2018-11-17,DM,2018-11-17->2020-04-04,DM->DP
->,A00499,P0180->AG0156,AT05,PS00377->W0207,,1966,1976,,,Song Yongyi mentions it as one of the most important grey-covered books during the CR,SS00108->W0435,327,2,,,,en,2018-11-17,DM,2018-11-17->2020-04-04,DM->DP
->,A00500,P0011->AG0011,AT05,AW00094->W0639,,19xx,19xx,,,unknown,SS00155->W0477,57,2,,All data missing in the original dataset,Added by JH transferred without rechecking requires further checks,en,2018-11-17,DM,2018-11-17->2020-04-04,DM->DP
->,A00501,P0106->AG0103,AT05,PS00180->W0069,,1972,1972,,,"The author introduced the categories of those internal published books. The year 1972 was overwhelming to those book lovers, for they sensed there seemed to be a chance of opening  up.",SS00005->W0419,581,2,,,,en,2018-04-11,WH,2018-04-13->2020-04-04,WH->DP
->,A00502,P0009->AG0009,AT01,PS00181->W0070,,"[1949..1966, 1967]","[1949..1966, 1967]",,,"Bei Dao mentions that before the rustication, they have already started to read extensively. First, under the influence of his classmates he read books on politics, economics and history, in order to devote his life to the revolution. After he became a builder, he started to be interested in the literary works. At that time, the most popular books were the 'neibu' books, namely yellow-covered books. Ehrenburg's work was among the most influential for Bei Dao and he read this piece many times, it opened a window that lead to a world so different from his real life.  As it seems to him now, Ehrenburg's piece is not that good, but at those times it served as a guidebook for 'searching' young people and gave them an ability to dream. Bei Dao's memoirs are cited from Jian Ying 建英 2006 (Wang Shiqiang 2014: 88).",SS00189->W0487,46,2,,,,en,2018-04-26,WH,2018-04-26->2020-04-04,WH->DP
->,A00503,P0999->AG0626,AT01,PS09999->W0414,,19xx,19xx,,,The author remembered that there was a worker whose surname was Zhu. He wrote many poems and mentioned these poets very often,SS00005->W0419,583,2,,,,en,2018-04-26,WH,2018-04-26->2020-04-04,WH->DP
->,A00504,P0018->AG0018,AT05,PS09999->W0414,,19xx,19xx,,,He mentions that Eliot’s poems are of his book list.,SS00158->W0480,311,2,,,,en,2018-04-26,WH,2018-04-26->2020-04-04,WH->DP
->,A00505,P0003->AG0003,AT17,PS00401->W0217,,[1963..1965?],[1963..1965?],,,Zhang Langlang recited the poems for his brother and his friends during their summer vocation.,SS00112->W0439,46,2,,,,en,2018-04-26,WH,2018-04-26->2020-04-04,WH->DP
->,A00506,P0999->AG0626,AT01,PS00186->W0074,,1976~,1976~,SP0439,,"""A young factory lady was reading this book, and she admired Jiang Qing for she was considered as the model of women at that time. But later after the book was seen nowhere from this lady.",SS00156->W0478,335,2,,,,en,2018-04-26,WH,2018-04-26->2020-12-19,WH->MG
->,A00507,P0062->AG0061,AT01,PS00186->W0074,,1969,19670->1970,SP0002,,"The author was reading this book in prison, she describes the personal gain she gots out of reading ( more self-confidence, political understanding of her past, hope)->She describes the personal gain she gots out of reading (more self-confidence, political understanding of her past, hope)",SS00113->W0440,461,2,,,,en,2018-04-26,WH,2018-04-26->2020-12-09,WH->MG
->,A00508,P0130->AG0115,AT25,PS00402->W0218,,1968~,1968~,SP0156,,After reading this work the author could not understand  why  there were still class and class struggle under a socialist system.,SS00149->W0471,418,2,,,,en,2018-04-26,WH,2018-04-26->2020-12-19,WH->MG
->,A00509,P0999->AG0626,AT03,PS00402->W0218,P0062->AG0061,1973,1974,SP0002,,The book was given to her while she was in prison. First in Chinese and later in German.,SS00113->W0440,,2,,,,en,2018-05-02,WH,2018-05-02->2020-12-09,WH->MG
->,A00510,P0137->AG0122,AT05,PS09999->W0414,,19xx,19xx,,,He painted in Fechin's style.,SS00163->W0485,351,2,,,,en,2018-05-03,WH,2018-05-03->2020-04-04,WH->DP
->,A00511,P0220->AG0196,AT05,PS00403->W0219,,1966,1966,,,His grandfather used to have this book.,SS00192->W0489,,2,,,,en,2018-05-03,WH,2018-05-03->2020-04-04,WH->DP
->,A00512,P0131->AG0116,AT01,PS00404->W0220,,1973,1973,SP0442,,He reads this book secretly at home. It was perhaps from the library of his father's institute.,SS00153->W0475,554,2,,,,en,2018-05-03,WH,2018-05-03->2020-12-19,WH->MG
->,A00513,P0131->AG0116,AT01,PS09999->W0414,,19xx,19xx,,,He read Feng's poem after growing up. He was surprised compared with Feng's image.,SS00153->W0475,560,2,,,,en,2018-05-03,WH,2018-05-03->2020-04-04,WH->DP
->,A00514,P0033->AG0033,AT05,PS00405->W0221,,19xx,19xx,,,"While reading the book Zhongguo xin shixuan, the author recognized that this poem was adapted from the novel Soushen ji.",SS00116->W0443,,2,,,,en,2018-05-03,WH,2018-10-16->2020-04-04,WH->DP
->,A00515,P0003->AG0003,AT01,PS00309->W0156,,1961,1963?,SP0003,,He would like to search book in old bookstores. He found this book there and read it later.,SS00112->W0439,38,2,,,,en,2018-05-03,WH,2018-05-03->2020-12-19,WH->MG
->,A00516,P0033->AG0033,AT01,PS00406->W0222,,19xx,19xx,,,The author sought the information of the temples in Chengdu in this book.,SS00116->W0443,,2,,,,en,2018-05-03,WH,2018-05-12->2020-04-04,WH->DP
->,A00517,P0011->AG0011,AT05,AW09999->W0554,,1968..,1968..,,,The author was astonished when she saw the works of these renowned painters in the houses of her friends whose parents are painters as well.,SS00155->W0477,56,2,,,,en,2018-06-21,WH,2018-06-21->2020-04-04,WH->DP
->,A00518,P0032->AG0032,AT05,PS00407->W0223,P0031->AG0031,1969..,1969..,SP0002,,The author met Zhu Shixian in the prison. Zhu told him about this text from a high school textbook.,SS00109->W0436,ONLINE SOURCE,2,,,,en,2018-06-21,WH,2018-08-15->2020-12-19,WH->MG
->,A00519,P0055->AG0054,AT13,PS00408->W0224,,195x,195x,,,He accomplished the book series.,SS00131->W0454,ONLINE SOURCE,2,,,,en,2018-06-21,WH,2018-06-21->2020-04-04,WH->DP
->,A00520,P0031->AG0031,AT01,PS00409->W0225,,1969..,1969..,SP0002,,Huang got in to the Sichuan Second Prison in 1969 Summer due to his diary. He was sent to labor reform and he met Zhu Shixian there. The text is about their lives in the prison. They recall and read many literature in the prison. Zhu suicided in the prison.,SS00109->W0436,ONLINE SOURCE,2,,,,en,2018-07-09,WH,2018-07-09->2020-12-19,WH->MG
->,A00521,P0032->AG0032,AT05,PS00409->W0225,P0031->AG0031,19xx,19xx,SP0002,,The author met Zhu Shixian in the prison. Zhu told him about this text from a high school textbook.,SS00109->W0436,ONLINE SOURCE,2,,,,en,2018-07-09,WH,2018-08-15->2020-12-19,WH->MG
->,A00522,P0055->AG0054,AT13,PS00410->W0226,,195x,195x,,,He accomplished the book series.,SS00131->W0454,ONLINE SOURCE,2,,,,en,2018-07-09,WH,2018-07-09->2020-04-04,WH->DP
->,A00523,P0055->AG0054,AT13,PS00411->W0227,,195x,195x,,,He accomplished the book series.,SS00131->W0454,ONLINE SOURCE,2,,,,en,2018-07-10,WH,2018-07-10->2020-04-04,WH->DP
->,A00524,P0055->AG0054,AT13,PS00412->W0228,,195x,195x,,,He accomplished the book series.,SS00131->W0454,ONLINE SOURCE,2,,,,en,2018-07-10,WH,2018-07-10->2020-04-04,WH->DP
->,A00525,P0046->AG0045,AT01,PS00413->W0229,,1971,1971,,,After reading the Little Red Book for few days began the author and other members of the study small group reading other books.,SS00120->W0447,ONLINE SOURCE,2,,,,en,2018-07-10,WH,2018-08-15->2020-04-04,WH->DP
->,A00526,P0109->AG0106,AT05,PS00414->W0230,,1966..1970~,1966..1970~,SP0436,,Shu Ting relates that she read the Novel as she was hit by a bullet fired by red guards invading the physics building,SS00014->W0425,300,2,,,->unknown place of rustication,en,2018-07-12,WH,2018-07-12->2020-12-19,WH->MG
->,A00527,P0106->AG0103,AT05,PS00414->W0230,,196x,196x,SP0446,,After many years he remembered the books he read at school when he read this book although he did not even know the author’s name or the titles.,SS00005->W0419,565,2,,,,en,2018-07-12,WH,2018-08-15->2020-12-19,WH->MG
->,A00528,P0999->AG0626,AT03,PS00414->W0230,P0106->AG0103,19xx,19xx,SP0055,,There was an educated youth whose father was a cadre offered many aesthetic books to the author.,SS00005->W0419,583,2,,,,en,2018-07-12,WH,2018-08-15->2020-12-19,WH->MG
->,A00601,P0131->AG0116,AT01,PS00354->W0184,,1978,1978,,,Someone recommended him to borrow this book,SS00153->W0475,560f,2,,,,en,2018-06-01,MG,2018-06-05->2020-04-04,MG->DP
->,A00602,P0033->AG0033,AT22,PS00357->W0187,,1961..1962,1961..1962,,,Zhou reminds this tale seeing his brother,SS00116->W0443,ONLINE SOURCE,2,,,,en,2018-06-04,MG,2018-06-05->2020-04-04,MG->DP
->,A00603,P0041->AG0041,AT01,PS09999->W0414,,1966..1976,1966..1976,SP0015,,she writes that now she can only recall having secretly read works from Hugo and Pushkin at that time,SS00119->W0446,ONLINE SOURCE,2,,unknown work by: P0324->unknown work by: AG0286,,en,2018-06-04,MG,2018-06-05->2021-01-02,MG
->,A00604,P0018->AG0018,AT05,PS09999->W0414,,196x..197x,196x..197x,,,unknown,SS00158->W0480,311,2,,unknown work by: P0324->unknown work by: AG0286,pls check the source again,en,2018-06-04,MG,2018-06-05->2020-04-04,MG->DP
->,A00605,P0999->AG0626,AT31,PS00603->W0382,P0003->AG0003,1970?,1970?,,,The author teaches a young man these poems and the young man writes them down.,SS00185->W0486,112,2,,,,en,2018-06-04,MG,2019-06-20->2020-04-04,WH->DP
->,A00606,P0106->AG0103,AT02,PS00355->W0185,,197x,197x,SP0055,,Han and friends exchanged and  transcribed poems together,SS00005->W0419,578,2,,,,en,2018-06-04,MG,2018-06-05->2021-01-02,MG
->,A00607,P0106->AG0103,AT03,PS00355->W0185,P0999->AG0626,197x,197x,SP0055,,Han and friends exchanged and  transcribed poems together,SS00005->W0419,578,2,,,,en,2018-06-04,MG,2018-06-05->2021-01-02,MG
->,A00608,P0140->AG0125,AT05,AW09999->W0554,,197x,197x,SP0005,,Chen reports that this was popular among underground circles in Beijing,SS00157->W0479,75,2,,unknown work by: P0387 AF05->unknown work by: AG0349 AF05,,en,2018-06-04,MG,2018-06-05->2021-01-02,MG
->,A00609,P0999->AG0626,AT05,PS09999->W0414,,196x..197x,196x..197x,,,Han remembers a worker who frequently mentioned Pound,SS00005->W0419,583,2,,uknown work by: P0388 G10->unknown work by: AG0350 G10,,en,2018-06-04,MG,2018-06-05->2020-04-04,MG->DP
->,A00610,P0132->AG0117,AT11,PS00359->W0189,,1975..1979,1975..1979,,,Chen started to translate works by Poe,SS00043->W0430,454,2,,,,en,2018-06-05,MG,2018-06-05->2020-04-04,MG->DP
->,A00611,P0132->AG0117,AT11,PS09999->W0414,,1975..1979,1975..1979,,,Chen started to translate works by Poe,SS00043->W0430,454,2,,unknown work by: P0389->unknown work by: AG0351,,en,2018-06-05,MG,2018-06-05->2020-04-04,MG->DP
->,A00612,P0133->AG0118,AT01,PS00360->W0190,,1970..1979,1970..1979,SP0446,,Bo and his middle school classmates were reading a lot of books in a private study group,SS00154->W0476,531,2,,,,en,2018-06-05,MG,2018-06-18->2021-01-02,MG
->,A00613,P0130->AG0115,AT16,PS00451->W0231,,1967~,1967~,SP0156,,Influenced the way Xu perceived the role of the individual,SS00149->W0471,417,2,,,,en,2018-06-05,MG,2018-06-05->2021-01-02,MG
->,A00614,P0130->AG0115,AT16,PS00452->W0232,,1967~,1967~,SP0156,,Influenced the way Xu perceived the role of the individual,SS00149->W0471,417,2,,,,en,2018-06-05,MG,2018-06-05->2021-01-02,MG
->,A00615,P0120->AG0114,AT05,PS09999->W0414,,196x..197x,196x..197x,,,Zhang mentions Plato as an item which appears in his uncle‘s notebook,SS00030->W0429,52,2,,unknown work by P0392->unknown work by: AG0354,,en,2018-06-06,MG,2018-06-06->2020-04-04,MG->DP
->,A00616,P0109->AG0106,AT01,PS00453->W0233,,1969~,1972~,SP0436,,A friend (possibly penpal) recommended to read Plato. Hard reading which she forgot completely afterwards,SS00014->W0425,301,2,,,,en,2018-06-06,MG,2018-06-06->2021-01-02,MG
->,A00617,P0133->AG0118,AT16,PS09999->W0414,,1979~,1979~,,,Bo was influenced by Plath and adapted her style in his early work,SS00154->W0476,536,2,,unknown work by: P0393 G10->unknown work by: AG0355 G10,,en,2018-06-06,MG,2018-06-06->2020-04-04,MG->DP
->,A00618,P0397->AG0359,AT01,PS00454->W0234,,197x,197x,,,Ma read this prose to Bo Hua and others,SS00154->W0476,542,2,,,,en,2018-06-11,MG,2018-06-11->2020-04-04,MG->DP
->,A00619,P0133->AG0118,AT23,PS00454->W0234,,197x,197x,,,Ma read this prose to Bo Hua and others,SS00154->W0476,542,2,,,,en,2018-06-11,MG,2018-06-11->2020-04-04,MG->DP
->,A00620,P0133->AG0118,AT05,PS00455->W0235,,197x,197x,,,Bo mentions this as a well-known and aesthetically influential book among the youth,SS00154->W0476,541,2,,,,en,2018-06-11,MG,2018-06-11->2020-04-04,MG->DP
->,A00621,P0131->AG0116,AT16,PS00456->W0236,,1975,1975,,,This novel influenced Li‘s understanding of literature and society,SS00153->W0475,554,2,,,,en,2018-06-11,MG,2018-06-11->2020-04-04,MG->DP
->,A00622,P0106->AG0103,AT01,PS09999->W0414,,196x..197x,196x..197x,,,unknown,SS00005->W0419,583,2,,unknown work by: P0400 G29->unknown work by: AG0362 G29,,en,2018-06-12,MG,2018-06-12->2020-04-04,MG->DP
->,A00623,P0999->AG0626,AT03,PS09999->W0414,P0106->AG0103,196x..197x,196x..197x,SP0055,,An educated youth had access to books via his father (cadre) and handed some of them over to Han.,SS00005->W0419,583,2,,unknown work by: P0400 G29->unknown work by: AG0362 G29,,en,2018-06-12,MG,2018-06-12->2021-01-02,MG
->,A00624,P0154->AG0134,AT05,AW00102->W0548,,196x..197x,196x..197x,,,unknown,SS00160->W0482,386,2,,,for substantial discussion pls check the source again,en,2018-06-12,MG,2018-06-12->2020-04-04,MG->DP
->,A00625,P0033->AG0033,AT01,PS00457->W0237,,1955~,1955~,,,unknown,SS00116->W0443,ONLINE SOURCE,2,,,,en,2018-06-12,MG,2018-06-12->2020-04-04,MG->DP
->,A00626,P0106->AG0103,AT05,PS09999->W0414,,1972~,1972~,,,unknown,SS00005->W0419,580,2,,unknown work by: P0222->unknown work by: AG0198,,en,2018-06-12,MG,2018-06-12->2020-04-04,MG->DP
->,A00627,P0106->AG0103,AT05,AW00103->W0549,,196x..197x,196x..197x,,,Han mentions that the educated youth also transcribed songs in their notebooks,SS00005->W0419,578,2,,,,en,2018-06-12,MG,2018-06-12->2020-04-04,MG->DP
->,A00628,P0138->AG0123,AT05,PS00458->W0238,,1968,1968,,,unknown,SS00111->W0438,189,2,,,,en,2018-06-18,MG,2018-06-18->2020-04-04,MG->DP
->,A00629,P0131->AG0116,AT01,PS00458->W0238,,196x..197x,196x..197x,,,The author remembered that Mr. Li Shu praised this book greatly.,SS00153->W0475,555,2,,,,en,2018-06-18,MG,2018-06-18->2020-04-04,MG->DP
->,A00630,P0020->AG0020,AT01,PS00458->W0238,,1970..1975,1970..1975,,,Gao Hua mentioned that this book was one of the most influential for him during early/ mid 1970s.,SS00006->W0420,136,2,,,,en,2018-06-18,MG,2018-06-18->2020-04-04,MG->DP
->,A00631,P0033->AG0033,AT01,PS00246->W0120,,1955~,1955~,,,unknown,SS00116->W0443,ONLINE SOURCE,2,,,,en,2018-06-19,MG,2018-06-19->2020-04-04,MG->DP
->,A00632,P0120->AG0114,AT01,PS00246->W0120,,1952~,1952~,,,unknown,SS00030->W0429,56,2,,,,en,2018-06-19,MG,2018-06-19->2020-04-04,MG->DP
->,A00633,P0106->AG0103,AT01,PS00246->W0120,,1967,1967,,,unknown,SS00005->W0419,569,2,,,,en,2018-06-19,MG,2018-06-19->2020-04-04,MG->DP
->,A00634,P0106->AG0103,AT12,PS00246->W0120,,1967..197x,1967..197x,SP0442,,Han‘s home was plundered and his collections were confiscated by Red Guards,SS00005->W0419,569,2,,,,en,2018-06-19,MG,2018-06-19->2021-01-02,MG
->,A00635,P0120->AG0114,AT05,PS09999->W0414,,196x..197x,196x..197x,,,Zhang mentions it as item listed in his uncle‘s notebook,SS00030->W0429,52,2,,unknown work by: P0186->unknown work by: AG0162,,en,2018-06-19,MG,2018-06-19->2020-04-04,MG->DP
->,A00636,P0407->AG0369,AT01,PS00459->W0239,,1963,1963,,,The Lei Feng diary was read all over the country,SS00250->W0518,132,2,,,,en,2018-06-19,MG,2018-06-19->2020-04-04,MG->DP
->,A00637,P0049->AG0048,AT01,PS00249->W0123,,1970~,1970~,SP0016,,he read the book aside the field during rustication,SS00130->W0453,ONLINE SOURCE,2,,,,en,2018-06-25,MG,2018-06-25->2021-01-02,MG
->,A00638,P0020->AG0020,AT05,PS00249->W0123,,196x..197x,196x..197x,,,unknown,SS00006->W0420,137,2,,,,en,2018-06-25,MG,2018-06-25->2020-04-04,MG->DP
->,A00639,P0133->AG0118,AT01,PS00249->W0123,,1970~,1970~,SP0446,,Bo and his middle school classmates were reading a lot of books in a private study group,SS00154->W0476,532,2,,,,en,2018-06-25,MG,2018-06-25->2021-01-02,MG
->,A00640,P0062->AG0061,AT01,PS00249->W0123,,1969,1970,SP0002,,Siao read this book in prison. By reading it she got more self-confident and aware of political occurrences in the past->By reading it she got more self-confident and aware of political occurrences in the past,SS00113->W0440,461,2,,,,en,2018-06-25,MG,2018-06-25->2020-12-09,MG
->,A00641,P0273->AG0249,AT11,PS00250->W0124,,1960..1966,1960..1966,,,Translated some of Lermontov‘s work,SS00061->W0433,ONLINE SOURCE,1,,,,en,2018-06-25,MG,2018-06-25->2020-04-04,MG->DP
->,A00642,P0273->AG0249,AT11,PS09999->W0414,,1960..1966,1960..1966,,,Translated some of Lermontov‘s work,SS00061->W0433,ONLINE SOURCE,1,,unknown work by: P0272->unknown work by: AG0248,,en,2018-06-25,MG,2018-06-25->2020-04-04,MG->DP
->,A00643,P0029->AG0029,AT01,PS09999->W0414,,196x..1966,196x..1966,,,Wu refers to this title as a book he read right before the CR,SS00029->W0428,116-117,2,,unknown work by: P0272->unknown work by: AG0248,,en,2018-06-25,MG,2018-06-25->2020-04-04,MG->DP
->,A00644,P0133->AG0118,AT04,PS09999->W0414,,1970~,1970~,,,Bo started to write poems in middle school,SS00154->W0476,531,2,,unknown work by: P0272->unknown work by: AG0248,,en,2018-06-25,MG,2018-06-25->2020-04-04,MG->DP
->,A00645,P0166->AG0143,AT03,PS09999->W0414,P0029->AG0029,196x..1966,196x..1966,SP0442,,Wu Hong had access to many books via his mother‘s private collection,SS00029->W0428,116-117,2,,unknown work by: P0272->unknown work by: AG0248,,en,2018-06-25,MG,2018-06-25->2021-01-02,MG
->,A00646,P0211->AG0187,AT01,PS00461->W0241,,195x..19xx,195x..19xx,,,Li used to like to read Li Ping‘s When the Sunset Disappears,SS00138->W0460,ONLINE SOURCE,2,,,,en,2018-06-25,MG,2018-06-25->2020-04-04,MG->DP
->,A00647,P0120->AG0114,AT05->AT45,Q0008->W0700,,196x..197x,196x..197x,SP0002,,unknown,SS00030->W0429,206->207,2,,Quotation by: P0409->,,en,2018-06-25,MG,2018-06-25->2021-02-23,MG
->,A00648,P0032->AG0032,AT22,PS00460->W0240,,1969~,1969~,SP0002,,In prison Huang and his friend Zhu recalled many stories from books they had read before,SS00109->W0436,ONLINE SOURCE,2,,,,en,2018-06-25,MG,2018-06-25->2021-01-02,MG
->,A00649,P0031->AG0031,AT22,PS00460->W0240,,1969~,1969~,SP0002,,In prison Huang and his friend Zhu recalled many stories from books they had read before,SS00109->W0436,ONLINE SOURCE,2,,,,en,2018-06-25,MG,2018-06-25->2021-01-02,MG
->,A00650,P0109->AG0106,AT01,PS09999->W0414,,1969~,1972~,SP0436,,A friend (possibly penpal) recommended to read Li. Was among the favorites of her readings in classical literature,SS00014->W0425,301,2,,unknown work by:  P0409 G13->unknown work by: AG0371 G13,,en,2018-06-25,MG,2018-06-25->2021-01-02,MG
->,A00651,P0139->AG0124,AT05,PS00298->W0151,,1966,1976,,,Xiao Xiao mentions it as one of the most important neibu books of the CR,SS00152->W0474,7-10,2,,,,en,2019-01-07,DM,2019-01-07->2020-04-04,DM->DP
->,A00652,P0120->AG0114,AT05,PS09999->W0414,,19XX,19XX,,,List of author names of which Zhang's uncle had made notes in his notebook,SS00030->W0429,52,2,,unknown work by: P0446->unknown work by: AG0408,,en,2019-01-07,DM,2019-01-07->2020-04-04,DM->DP
->,A00653,P0221->AG0197,AT01,PS00489->W0269,,1962?,1970?,,,The educated youths read many foreign books in underground salong during the 1978s secretly,SS00170->W0490,249,2,,,->read during rustication?,en,2019-01-07,DM,2019-01-07->2021-01-02,DM->MG
->,A00654,P0139->AG0124,AT05,PS00489->W0269,,1966,1976,,,Xiao Xiao mentions it as one of the most important neibu books of the CR,SS00152->W0474,7-10,2,,,,en,2019-01-07,DM,2019-01-07->2020-04-04,DM->DP
->,A00655,P0180->AG0156,AT05,PS00489->W0269,,1966,1976,,,Song Yongyi mentions it as one of the most important grey-covered books during the CR,SS00108->W0435,327,2,,,,en,2019-01-07,DM,2019-01-07->2020-04-04,DM->DP
->,A00656,P0106->AG0103,AT05,PS00489->W0269,,1972,1976,SP0055,,The author mentions it among others as an important reading for him and his zhiqing fellows.,SS00007->W0421,581,2,,,,en,2019-01-07,DM,2019-08-24->2021-01-02,WH->MG
