!,,,,,,,,+++,+++,---,---,,,+++,+++,,,---,,,,
@@,act_id,agent,action,act_object,act_target,start,end,narrative_time,substantial_discussion,site_information,discussion,source,page,source_status,fictionality,commentary,note,id_lang,created,created_by,last_modified,last_modified_by
->,A00296,AG0284->P0322,AT03,W0414->PS09999,AG0282->P0320,1970~,1970~,,determined to improve herself intellectually she read everything her father recommended,,determined to improve herself intellectually she read everything her father recommended,W0512->SS00268,452,2,,unknown work by: AG0286->unknown work by: P0324,,en,2018-03-21,MG,2020-04-04->2018-04-10,DP->MG
->,A00297,AG0284->P0322,AT03,W0414->PS09999,AG0282->P0320,1970~,1970~,,determined to improve herself intellectually she read everything her father recommended,,determined to improve herself intellectually she read everything her father recommended,W0512->SS00268,452,2,,unknown work by: AG0287->unknown work by: P0325,,en,2018-03-21,MG,2020-04-04->2018-04-10,DP->MG
->,A00298,AG0282->P0320,AT01,W0414->PS09999,,1970~,1970~,,determined to improve herself intellectually she read everything her father recommended,,determined to improve herself intellectually she read everything her father recommended,W0512->SS00268,452,2,,unknown work by: AG0287->unknown work by: P0325,,en,2018-03-21,MG,2020-04-04->2018-03-23,DP->MG
->,A00299,AG0282->P0320,AT01,W0038->PS00077,,1970~,1970~,,she read it as a condensed history of feudal society in China,,she read it as a condensed history of feudal society in China,W0512->SS00268,452,2,,,,en,2018-03-23,MG,2020-04-04->2018-03-23,DP->MG
->,A00300,AG0282->P0320,AT23,W0534->AW00082,,1970~,1977?,,Listened to the music of Swan Lake. Her brother had borrowed them (among others) from friends in Beijing,,Listened to the music of Swan Lake. Her brother had borrowed them (among others) from friends in Beijing (SP0005),W0512->SS00268,454,2,,,,en,2018-03-23,MG,2020-12-16->2018-03-23,MG
->,A00301,AG0282->P0320,AT23,W0535->AW00083,,1970~,1977?,,her brother had borrowed them (among others) from friends in Beijing,,her brother had borrowed them (among others) from friends in Beijing (SP0005),W0512->SS00268,454,2,,,,en,2018-03-23,MG,2020-12-16->2018-03-23,MG
->,A00302,AG0290->P0328,AT03,W0534->AW00082,AG0282->P0320,1970~,1977?,,her brother had borrowed them (among others) from friends in Beijing,,her brother had borrowed them (among others) from friends in Beijing (SP0005),W0512->SS00268,454,2,,,,en,2018-03-23,MG,2020-12-16->2018-03-23,MG
->,A00303,AG0290->P0328,AT03,W0535->AW00083,AG0282->P0320,1970~,1977?,,her brother had borrowed them (among others) from friends in Beijing,,her brother had borrowed them (among others) from friends in Beijing (SP0005),W0512->SS00268,454,2,,,,en,2018-03-23,MG,2020-12-16->2018-03-23,MG
->,A00304,AG0284->P0322,AT17,W0150->PS00297,,1966?,1977?,,he liked to cite this novel while criticising financial disputes in other families,,he liked to cite this novel while criticising financial disputes in other families,W0512->SS00268,641,2,,,,en,2018-03-23,MG,2020-04-04->2018-03-23,DP->MG
->,A00305,AG0291->P0329,AT05,W0104->PS00227,,1970?,1971?,,comparison to rigid moral codes of a society,,comparison to rigid moral codes of a society,W0513->SS00269,106,2,,,,en,2018-03-27,MG,2020-04-04->2018-03-27,DP->MG
->,A00306,AG0291->P0329,AT01,W0050->PS00093,,1971,1971,,felt proud of reading it,,felt proud of reading it,W0513->SS00269,107,2,,,,en,2018-03-27,MG,2020-04-04->2018-03-27,DP->MG
->,A00307,AG0291->P0329,AT01,W0151->PS00298,,1974,1974,,one of the favorites. recommended by his father,,one of the favorites. recommended by his father,W0513->SS00269,8,2,,,,en,2018-03-27,MG,2020-04-04->2018-03-27,DP->MG
->,A00308,AG0291->P0329,AT01,W0152->PS00299,,1974,1974,,This book was banned at that time,,This book was banned at that time,W0513->SS00269,8,2,,,,en,2018-03-27,MG,2020-04-04->2018-03-27,DP->MG
->,A00309,AG0291->P0329,AT20,W0536->AW00084,,1968~,196x,,each time they gave a performance they selected a short piece from this play since they did not have too much else to choose from.,,each time they gave a performance they selected a short piece from this play since they did not have too much else to choose from.,W0513->SS00269,79,2,,,,en,2018-03-27,MG,2020-04-04->2018-03-27,DP->MG
->,A00310,AG0291->P0329,AT04,W0536->AW00084,,1968~,196x,,loves this play for personal reasons associated the hero of the play with his father.,,loves this play for personal reasons associated the hero of the play with his father.,W0513->SS00269,80,2,,,,en,2018-03-27,MG,2020-04-04->2018-03-27,DP->MG
->,A00311,AG0291->P0329,AT13,W0513->Q0007,,1968?,1969?,,This is the first poem of the author,,This is the first poem of the author,W0513->SS00269,85,2,,,,en,2018-03-27,MG,2020-04-04->2018-03-27,DP->MG
->,A00312,AG0291->P0329,AT05,W0153->PS00300,,19xx,19xx,,,,,W0513->SS00269,127,2,,,,en,2018-03-27,MG,2020-04-04->2018-03-27,DP->MG
->,A00313,AG0291->P0329,AT01,W0050->PS00093,,197x,1972,,the english version served him as a textbook to learn english,,the english version served him as a textbook to learn english,W0513->SS00269,131,2,,,,en,2018-03-27,MG,2020-04-04->2018-03-27,DP->MG
->,A00314,AG0291->P0329,AT17,W0154->PS00301,,1972,1972,,his purpose was to show the level of his english,,his purpose was to show the level of his english,W0513->SS00269,133,2,,,,en,2018-03-27,MG,2020-04-04->2018-03-27,DP->MG
->,A00315,AG0626->P0999,AT20,W0537->AW00085,,1971,1971,,a young boy performed the Internationale with his violin,,a young boy performed the Internationale with his violin,W0513->SS00269,107,2,,,,en,2018-04-03,MG,2020-04-04->2018-04-03,DP->MG
->,A00316,AG0291->P0329,AT23,W0537->AW00085,,1971,1971,,he was moved by the verses they echoed with his teenage feelings,,he was moved by the verses they echoed with his teenage feelings,W0513->SS00269,107,2,,,,en,2018-04-03,MG,2020-04-04->2018-04-03,DP->MG
->,A00317,AG0291->P0329,AT01,W0414->PS09999,,1970?,197x,,their initial impact was to ‘reinforce his teenage tendency to rebel’,,their initial impact was to ‘reinforce his teenage tendency to rebel’,W0513->SS00269,129,2,,unknown work about AG0157 G02->unknown work about P0181 G02,,en,2018-04-03,MG,2020-04-04->2018-04-10,DP->MG
->,A00318,AG0291->P0329,AT01,W0414->PS09999,,1970?,197x,,their initial impact was to ‘reinforce his teenage tendency to rebel’,,their initial impact was to ‘reinforce his teenage tendency to rebel’,W0513->SS00269,129,2,,unknown work about AG0229 G02->unknown work about P0253 G02,,en,2018-04-03,MG,2020-04-04->2018-04-10,DP->MG
->,A00319,AG0291->P0329,AT01,W0414->PS09999,,1970?,197x,,their initial impact was to ‘reinforce his teenage tendency to rebel’,,their initial impact was to ‘reinforce his teenage tendency to rebel’,W0513->SS00269,129,2,,unknown work about AG0158 G02->unknown work about P0182 G02,,en,2018-04-03,MG,2020-04-04->2018-04-10,DP->MG
->,A00320,AG0291->P0329,AT01,W0414->PS09999,,1970?,197x,,their initial impact was to ‘reinforce his teenage tendency to rebel’,,their initial impact was to ‘reinforce his teenage tendency to rebel’,W0513->SS00269,129,2,,unknown work about AG0169 G02->unknown work about P0193 G02,,en,2018-04-03,MG,2020-04-04->2018-04-10,DP->MG
->,A00321,AG0291->P0329,AT01,W0002->PS00002,,1971,1971,,,,,W0513->SS00269,133,2,,,,en,2018-04-03,MG,2020-04-04->2018-04-03,DP->MG
->,A00322,AG0291->P0329,AT23,W0554->I0009,AG0635->,1971,197x,,he tuned in to programs of VOA,,he tuned in to programs of VOA,W0513->SS00269,133f,2,,,,en,2018-04-03,MG,2020-04-04->2018-04-03,DP->MG
->,A00323,AG0291->P0329,AT01,W0414->PS09999,,197x,197x,,recognized the ideological and philosophical richness,,recognized the ideological and philosophical richness,W0513->SS00269,153,2,,unknown work & an English Bible G32,,en,2018-04-03,MG,2020-04-04->2018-04-10,DP->MG
->,A00324,AG0296->P0334,AT03,W0414->PS09999,AG0291->P0329,197x,197x,,,,,W0513->SS00269,153,2,,unknown work & an English Bible G32,,en,2018-04-03,MG,2020-04-04->2018-04-10,DP->MG
->,A00325,AG0291->P0329,AT01,W0078->PS00194,,1970,197x,,One lesson he drew from it was that he should never confess his inner secrets to anyone,,One lesson he drew from it was that he should never confess his inner secrets to anyone,W0513->SS00269,160f,2,,,,en,2018-04-03,MG,2020-04-04->2018-04-03,DP->MG
->,A00326,AG0291->P0329,AT01,W0155->PS00307,,197x,197x,,unknown,,unknown,W0513->SS00269,188,2,,,,en,2018-04-03,MG,2020-04-04->2018-04-03,DP->MG
->,A00327,AG0291->P0329,AT01,W0414->PS09999,,197x,197x,,unknown,,unknown,W0513->SS00269,188,2,,unknown work & Rodin‘s biography G02,,en,2018-04-03,MG,2020-04-04->2018-04-10,DP->MG
->,A00328,AG0298->P0336,AT03,W0155->PS00307,AG0291->P0329,197x,197x,,he was interested in the fact of having access to banned books,,he was interested in the fact of having access to banned books,W0513->SS00269,188,2,,,,en,2018-04-03,MG,2020-04-04->2018-04-03,DP->MG
->,A00329,AG0298->P0336,AT03,W0414->PS09999,AG0291->P0329,197x,197x,,he was interested in the fact of having access to banned books,,he was interested in the fact of having access to banned books,W0513->SS00269,188,2,,unknown work & Rodin‘s biography G02,Rodin‘s biography,en,2018-04-03,MG,2020-04-04->2018-07-30,DP->MG
->,A00330,AG0626->P0999,AT03,W0156->PS00309,AG0291->P0329,1970,197x,,access via a reference librarian a friend of the family,,access via a reference librarian a friend of the family,W0513->SS00269,189,2,,,bad pointer see GH #300,en,2018-04-03,MG,2020-04-04->2018-11-12,DP->MG
->,A00331,AG0291->P0329,AT01,W0156->PS00309,,1970,197x,,,,,W0513->SS00269,189,2,,,,en,2018-04-03,MG,2020-04-04->2018-04-03,DP->MG
->,A00332,AG0626->P0999,AT03,W0157->PS00310,AG0291->P0329,1970,197x,,access via a reference librarian  a friend of the family,,access via a reference librarian  a friend of the family,W0513->SS00269,189,2,,,,en,2018-04-03,MG,2020-04-04->2018-04-03,DP->MG
->,A00333,AG0291->P0329,AT01,W0157->PS00310,,1970,197x,,,,,W0513->SS00269,189,2,,,,en,2018-04-03,MG,2020-04-04->2018-04-03,DP->MG
->,A00334,AG0291->P0329,AT01,W0158->PS00311,,1970,197x,,,,,W0513->SS00269,189,2,,,,en,2018-04-05,MG,2020-04-04->2018-04-05,DP->MG
->,A00335,AG0626->P0999,AT03,W0158->PS00311,AG0291->P0329,1970,197x,,access via a reference librarian a friend of the family,,access via a reference librarian a friend of the family,W0513->SS00269,189,2,,,,en,2018-04-05,MG,2020-04-04->2018-04-05,DP->MG
->,A00336,AG0307->P0345,AT03,W0414->PS09999,AG0291->P0329,1975,197x,,She had access to those books in the library of her university,,,W0513->SS00269,162f,2,,unknown work by: AG0138->unknown work by: P0160,,en,2018-04-06,MG,2020-12-16->2018-04-10,MG
->,A00337,AG0291->P0329,AT01,W0414->PS09999,,1975,197x,,,,,W0513->SS00269,162f,2,,unknown work by: AG0138->unknown work by: P0160,,en,2018-04-06,MG,2020-04-04->2018-04-10,DP->MG
->,A00338,AG0291->P0329,AT01,W0414->PS09999,,1975,197x,,,,,W0513->SS00269,162f,2,,unknown work by: AG0283->unknown work by: P0321,,en,2018-04-06,MG,2020-04-04->2018-04-10,DP->MG
->,A00339,AG0291->P0329,AT01,W0414->PS09999,,1975,197x,,,,,W0513->SS00269,162f,2,,unknown work by: AG0129->unknown work by: P0145,,en,2018-04-06,MG,2020-04-04->2018-04-10,DP->MG
->,A00340,AG0291->P0329,AT01,W0414->PS09999,,1975,197x,,,,,W0513->SS00269,162f,2,,unknown work by: AG0264->unknown work by: P0288,,en,2018-04-06,MG,2020-04-04->2018-04-10,DP->MG
->,A00341,AG0291->P0329,AT01,W0414->PS09999,,1975,197x,,,,,W0513->SS00269,162f,2,,unknown work by: AG0285->unknown work by: P0323,,en,2018-04-06,MG,2020-04-04->2018-04-10,DP->MG
->,A00342,AG0291->P0329,AT01,W0414->PS09999,,1975,197x,,,,,W0513->SS00269,162f,2,,unknown work by: AG0237->unknown work by: P0261,,en,2018-04-06,MG,2020-04-04->2018-04-10,DP->MG
->,A00343,AG0291->P0329,AT01,W0414->PS09999,,1975,197x,,,,,W0513->SS00269,162f,2,,unknown work by: AG0090->unknown work by: P0092,,en,2018-04-06,MG,2020-04-04->2018-04-10,DP->MG
->,A00344,AG0291->P0329,AT01,W0414->PS09999,,1975,197x,,,,,W0513->SS00269,162f,2,,unknown work by: AG0165->unknown work by: P0189,,en,2018-04-06,MG,2020-04-04->2018-04-10,DP->MG
->,A00345,AG0291->P0329,AT01,W0414->PS09999,,1975,197x,,,,,W0513->SS00269,162f,2,,unknown work by: AG0209->unknown work by: P0233,,en,2018-04-06,MG,2020-04-04->2018-04-10,DP->MG
->,A00346,AG0291->P0329,AT01,W0414->PS09999,,1975,197x,,,,,W0513->SS00269,162f,2,,unknown work by: AG0230->unknown work by: P0254,,en,2018-04-06,MG,2020-04-04->2018-04-10,DP->MG
->,A00347,AG0291->P0329,AT01,W0414->PS09999,,1975,197x,,,,,W0513->SS00269,162f,2,,unknown work by: AG0301->unknown work by: P0339,,en,2018-04-06,MG,2020-04-04->2018-04-10,DP->MG
->,A00348,AG0291->P0329,AT01,W0414->PS09999,,1975,197x,,,,,W0513->SS00269,162f,2,,unknown work by: AG0302->unknown work by: P0340,,en,2018-04-06,MG,2020-04-04->2018-04-10,DP->MG
->,A00349,AG0291->P0329,AT01,W0414->PS09999,,1975,197x,,,,,W0513->SS00269,162f,2,,unknown work by: AG0303->unknown work by: P0341,,en,2018-04-06,MG,2020-04-04->2018-04-10,DP->MG
->,A00350,AG0291->P0329,AT01,W0414->PS09999,,1975,197x,,,,,W0513->SS00269,162f,2,,unknown work by: AG0305->unknown work by: P0343,,en,2018-04-06,MG,2020-04-04->2018-04-10,DP->MG
->,A00351,AG0291->P0329,AT01,W0414->PS09999,,1975,197x,,,,,W0513->SS00269,162f,2,,unknown work by: AG0304->unknown work by: P0342,,en,2018-04-06,MG,2020-04-04->2018-04-10,DP->MG
->,A00352,AG0291->P0329,AT01,W0414->PS09999,,1975,197x,,,,,W0513->SS00269,162f,2,,unknown work by: AG0306->unknown work by: P0344,,en,2018-04-06,MG,2020-04-04->2018-04-10,DP->MG
->,A00353,AG0307->P0345,AT03,W0414->PS09999,AG0291->P0329,1975,197x,,She had access to those books in the library of her university,,,W0513->SS00269,162f,2,,unknown work by: AG0283->unknown work by: P0321,,en,2018-04-06,MG,2020-12-16->2018-04-10,MG
->,A00354,AG0307->P0345,AT03,W0414->PS09999,AG0291->P0329,1975,197x,,She had access to those books in the library of her university,,,W0513->SS00269,162f,2,,unknown work by: AG0129->unknown work by: P0145,,en,2018-04-06,MG,2020-12-16->2018-04-10,MG
->,A00355,AG0307->P0345,AT03,W0414->PS09999,AG0291->P0329,1975,197x,,She had access to those books in the library of her university,,,W0513->SS00269,162f,2,,unknown work by: AG0264->unknown work by: P0288,,en,2018-04-06,MG,2020-12-16->2018-04-10,MG
->,A00356,AG0307->P0345,AT03,W0414->PS09999,AG0291->P0329,1975,197x,,She had access to those books in the library of her university,,,W0513->SS00269,162f,2,,unknown work by: AG0285->unknown work by: P0323,,en,2018-04-06,MG,2020-12-16->2018-04-10,MG
->,A00357,AG0307->P0345,AT03,W0414->PS09999,AG0291->P0329,1975,197x,,She had access to those books in the library of her university,,,W0513->SS00269,162f,2,,unknown work by: AG0237->unknown work by: P0261,,en,2018-04-06,MG,2020-12-16->2018-04-10,MG
->,A00358,AG0307->P0345,AT03,W0414->PS09999,AG0291->P0329,1975,197x,,She had access to those books in the library of her university,,,W0513->SS00269,162f,2,,unknown work by: AG0090->unknown work by: P0092,,en,2018-04-06,MG,2020-12-16->2018-04-10,MG
->,A00359,AG0307->P0345,AT03,W0414->PS09999,AG0291->P0329,1975,197x,,She had access to those books in the library of her university,,,W0513->SS00269,162f,2,,unknown work by: AG0165->unknown work by: P0189,,en,2018-04-06,MG,2020-12-16->2018-04-10,MG
->,A00360,AG0307->P0345,AT03,W0414->PS09999,AG0291->P0329,1975,197x,,She had access to those books in the library of her university,,,W0513->SS00269,162f,2,,unknown work by: AG0209->unknown work by: P0233,,en,2018-04-06,MG,2020-12-16->2018-04-10,MG
->,A00361,AG0307->P0345,AT03,W0414->PS09999,AG0291->P0329,1975,197x,,She had access to those books in the library of her university,,,W0513->SS00269,162f,2,,unknown work by: AG0230->unknown work by: P0254,,en,2018-04-06,MG,2020-12-16->2018-04-10,MG
->,A00362,AG0307->P0345,AT03,W0414->PS09999,AG0291->P0329,1975,197x,,She had access to those books in the library of her university,,,W0513->SS00269,162f,2,,unknown work by: AG0301->unknown work by: P0339,,en,2018-04-06,MG,2020-12-16->2018-04-10,MG
->,A00363,AG0307->P0345,AT03,W0414->PS09999,AG0291->P0329,1975,197x,,She had access to those books in the library of her university,,,W0513->SS00269,162f,2,,unknown work by: AG0302->unknown work by: P0340,,en,2018-04-06,MG,2020-12-16->2018-04-10,MG
->,A00364,AG0307->P0345,AT03,W0414->PS09999,AG0291->P0329,1975,197x,,She had access to those books in the library of her university,,,W0513->SS00269,162f,2,,unknown work by: AG0303->unknown work by: P0341,,en,2018-04-06,MG,2020-12-16->2018-04-10,MG
->,A00365,AG0307->P0345,AT03,W0414->PS09999,AG0291->P0329,1975,197x,,She had access to those books in the library of her university,,,W0513->SS00269,162f,2,,unknown work by: AG0305->unknown work by: P0343,,en,2018-04-06,MG,2020-12-16->2018-04-10,MG
->,A00366,AG0307->P0345,AT03,W0414->PS09999,AG0291->P0329,1975,197x,,She had access to those books in the library of her university,,,W0513->SS00269,162f,2,,unknown work by: AG0304->unknown work by: P0342,,en,2018-04-06,MG,2020-12-16->2018-04-10,MG
->,A00367,AG0307->P0345,AT03,W0414->PS09999,AG0291->P0329,1975,197x,,She had access to those books in the library of her university,,,W0513->SS00269,162f,2,,unknown work by: AG0306->unknown work by: P0344,,en,2018-04-06,MG,2020-12-16->2018-04-10,MG
->,A00368,AG0103->P0106,AT01,W0159->PS00328,,196x,1968~,,at the time he read widely but only and remembers these when he later saw these titles again,,at the time he read widely but only and remembers these when he later saw these titles again,W0419->SS00005,565,2,,,,en,2018-04-09,MG,2020-04-04->2018-04-09,DP->MG
->,A00369,AG0106->P0109,AT01,W0414->PS09999,,1969,1972,,,SP0436,,W0425->SS00014,301,2,,unknown work by: AG0308 G11->unknown work by: P0346 G11,unknown place of rustication->,en,2018-04-09,MG,2020-12-16->2018-04-13,MG
->,A00370,AG0009->P0009,AT19,W0160->PS00330,AG0626->,1968?,1968?,,discussed the text with a friend,,discussed the text with a friend,W0487->SS00189,36,2,,,,en,2018-04-09,MG,2020-12-16->2018-04-09,MG
->,A00371,AG0105->P0108,AT01,W0161->PS00331,,197x,197x,,supported the process of alienation towards her parents and giving Xu a more rebellious edge,,supported the process of alienation towards her parents and giving Xu a more rebellious edge,W0424->SS00012,159,2,,,,en,2018-04-09,MG,2020-04-04->2018-04-09,DP->MG
->,A00372,AG0105->P0108,AT01,W0162->PS00332,,197x,197x,,supported the process of alienation towards her parents and giving Xu a more rebellious edge,,supported the process of alienation towards her parents and giving Xu a more rebellious edge,W0424->SS00012,159,2,,,,en,2018-04-09,MG,2020-04-04->2018-04-09,DP->MG
->,A00373,AG0029->P0029,AT05,W0160->PS00330,,1960~,1965..1969,,Wu Hong mentions that this book was one of the most-beloved and widely-read among his book friends.,,Wu Hong mentions that this book was one of the most-beloved and widely-read among his book friends.,W0428->SS00029,119,2,,,,en,2018-04-09,MG,2020-04-04->2018-04-09,DP->MG
->,A00374,AG0125->P0140,AT05,W0160->PS00330,,197x,197x,,,SP0070,,W0479->SS00157,79,2,,,read during rustication?->,en,2018-04-09,MG,2020-12-16->2018-04-09,MG
->,A00375,AG0003->P0003,AT05,W0160->PS00330,,197x,197x,,,,,W0486->SS00185,129,2,,,,en,2018-04-09,MG,2020-04-04->2018-04-09,DP->MG
->,A00376,AG0125->P0140,AT05,W0161->PS00331,,197x,197x,,,SP0070,,W0479->SS00157,60,2,,,read during rustication?->,en,2018-04-09,MG,2020-12-16->2018-04-09,MG
->,A00377,AG0143->P0166,AT03,W0414->PS09999,AG0029->P0029,1960..1966,1966,,from her private collection,,from her private collection,W0428->SS00029,116,2,,,see #399 unknown source was: PS00294,en,2018-04-09,MG,2020-04-04->2019-10-12,DP
->,A00378,AG0103->P0106,AT01,W0414->PS09999,,1967,1967,,,,,W0419->SS00005,569,2,,,see #399 unknown source was: PS00294,en,2018-04-09,MG,2020-04-04->2019-10-12,DP
->,A00379,AG0192->P0216,AT05,W0414->PS09999,,197x,197x,,,,,W0481->SS00159,372,2,,,see #399 unknown source was: PS00294,en,2018-04-09,MG,2020-04-04->2019-10-12,DP
->,A00380,AG0310->P0348,AT01,W0163->PS00333,,1971,1971,,,,,W0514->SS00270,?,2,,,,en,2018-04-09,MG,2020-04-04->2018-04-09,DP->MG
->,A00381,AG0124->P0139,AT05,W0163->PS00333,,196x,197x,,,,,W0474->SS00152,7-10,2,,,,en,2018-04-09,MG,2020-04-04->2018-04-09,DP->MG
->,A00382,AG0020->P0020,AT01,W0164->PS00334,,196x..197x,1978,,He read the novel before his university studies. Back then university study was perceived by him as an 'unattainable dream'.  Already before the CR he was aware of the impact of the family background on attending university.,,He read the novel before his university studies. Back then university study was perceived by him as an 'unattainable dream'.  Already before the CR he was aware of the impact of the family background on attending university.,W0420->SS00006,132,2,,,,en,2018-05-07,MG,2020-04-04->2018-05-07,DP->MG
->,A00383,AG0124->P0139,AT05,W0165->PS00335,,196x..197x,196x..197x,,unknown,,unknown,W0474->SS00152,7-10,1,,,,en,2018-05-08,MG,2020-04-04->2018-05-08,DP->MG
->,A00384,AG0124->P0139,AT05,W0166->PS00336,,196x..197x,196x..197x,,unknown,,unknown,W0474->SS00152,7-10,1,,,,en,2018-05-08,MG,2020-04-04->2018-05-08,DP->MG
->,A00385,AG0104->P0107,AT05,W0166->PS00336,,196x..197x,196x..197x,,According to Wang Shiqiangs research this piece was  one of the most influential grey-covered books for the generation of pre-misty poets.,,According to Wang Shiqiangs research this piece was  one of the most influential grey-covered books for the generation of pre-misty poets.,W0423->SS00011,77,1,,,,en,2018-05-08,MG,2020-04-04->2018-05-08,DP->MG
->,A00386,AG0156->P0180,AT05,W0166->PS00336,,196x..197x,196x..197x,,unknown,,unknown,W0435->SS00108,327,1,,,,en,2018-05-08,MG,2020-04-04->2018-05-08,DP->MG
->,A00387,AG0029->P0029,AT01,W0414->PS09999,,196x..1966,1966,,he was already familiar with this author,,he was already familiar with this author,W0428->SS00029,116,2,,unknown work by: AG0285->unknown work by: P0323,,en,2018-05-08,MG,2020-04-04->2018-05-08,DP->MG
->,A00388,AG0143->P0166,AT03,W0414->PS09999,AG0029->P0029,196x..1966,1966,,unknown,,unknown,W0428->SS00029,116,2,,unknown work by: AG0285->unknown work by: P0323,,en,2018-05-08,MG,2020-04-04->2018-05-08,DP->MG
->,A00389,AG0192->P0216,AT01,W0414->PS09999,,196x..197x,196x..197x,,unknown,,unknown,W0481->SS00159,372,2,,unknown work by: AG0285->unknown work by: P0323,,en,2018-05-08,MG,2020-04-04->2018-05-08,DP->MG
->,A00390,AG0103->P0106,AT01,W0414->PS09999,,1967,1967,,unknown,,unknown,W0419->SS00005,569,2,,unknown work by: AG0285->unknown work by: P0323,,en,2018-05-08,MG,2020-04-04->2018-05-08,DP->MG
->,A00391,AG0103->P0106,AT12,W0414->PS09999,,1967..197x,1967..197x,,the authors home was plundered and all of his collections were confiscated by the red guards,SP0442,the authors home was plundered and all of his collections were confiscated by the red guards,W0419->SS00005,569,2,,unknown work by: AG0285->unknown work by: P0323,,en,2018-05-08,MG,2020-12-17->2018-05-08,MG
->,A00392,AG0103->P0106,AT01,W0167->PS00337,,1972,1972,,unknown,SP0055,unknown,W0419->SS00005,580,2,,,,en,2018-05-08,MG,2020-12-17->2018-05-08,MG
->,A00393,AG0124->P0139,AT05,W0168->PS00338,,196x..197x,196x..197x,,unknown,,unknown,W0474->SS00152,7-10,1,,,,en,2018-05-08,MG,2020-04-04->2018-05-08,DP->MG
->,A00394,AG0192->P0216,AT05,W0064->PS00122,,196x..197x,196x..197x,,unknown,,unknown,W0481->SS00159,372,2,,,,en,2018-05-08,MG,2020-04-04->2018-05-08,DP->MG
->,A00395,AG0192->P0216,AT05,W0414->PS09999,,196x..197x,196x..197x,,This work was written by one of his favorite writers back then.,,This work was written by one of his favorite writers back then.,W0481->SS00159,362,2,,unknown work by: AG0315->unknown work by: P0353,,en,2018-05-08,MG,2020-04-04->2019-08-25,DP->WH
->,A00396,AG0029->P0029,AT01,W0414->PS09999,,196x..1966,1966,,Wu Hong refers to his readings during the period right before the CR,,Wu Hong refers to his readings during the period right before the CR,W0428->SS00029,116-117,2,,unknown work by: AG0316->unknown work by: P0354,,en,2018-05-08,MG,2020-04-04->2018-05-08,DP->MG
->,A00397,AG0143->P0166,AT03,W0414->PS09999,AG0029->P0029,196x..1966,1966,,unknown,,unknown,W0428->SS00029,116-117,2,,unknown work by: AG0316->unknown work by: P0354,,en,2018-05-08,MG,2020-04-04->2018-05-08,DP->MG
->,A00398,AG0032->P0032,AT01,W0169->PS00339,,1969,1969,,unknown,SP0009,unknown,W0436->SS00109,ONLINE SOURCE,2,,,,en,2018-05-14,MG,2020-12-17->2018-05-14,MG
->,A00399,AG0032->P0032,AT12,W0169->PS00339,,1969,1969,,the book was confiscated in prison,SP0002,the book was confiscated in prison,W0436->SS00109,ONLINE SOURCE,2,,,,en,2018-05-14,MG,2020-12-17->2018-05-14,MG
->,A00400,AG0032->P0032,AT03,W0169->PS00339,AG0031->P0031,196x..1969,1969,,Zhu brought the book into prison,SP0002,Zhu brought the book into prison,W0436->SS00109,ONLINE SOURCE,2,,,,en,2018-05-14,MG,2020-12-17->2018-05-14,MG
->,A00401,AG0033->P0033,AT01,W0170->PS00340,,1962~,1962~,,unknown,,unknown,W0443->SS00116,ONLINE SOURCE,2,,,,en,2018-05-14,MG,2020-04-04->2018-05-14,DP->MG
->,A00402,AG0034->P0034,AT01,W0170->PS00340,,1962~,1962~,,unknown,,unknown,W0443->SS00116,ONLINE SOURCE,2,,,,en,2018-05-14,MG,2020-04-04->2018-05-14,DP->MG
->,A00403,AG0117->P0132,AT01,W0171->PS00341,,1975..1979,1975..1979,,There was a bookstore in Fuzhou Road (Shanghai) selling confiscated books during CR. So the author found many precious collections of foreign works there.,,There was a bookstore in Fuzhou Road (SP0006) selling confiscated books during CR. So the author found many precious collections of foreign works there.,W0430->SS00043,454,2,,,,en,2018-05-15,MG,2020-12-17->2018-05-15,MG
->,A00404,AG0118->P0133,AT01,W0171->PS00341,,1979,1979,,,,,W0476->SS00154,532,2,,,,en,2018-05-15,MG,2020-04-04->2018-05-15,DP->MG
->,A00405,AG0151->P0175,AT03,W0171->PS00341,AG0118->P0133,1979,1979,,Peng Yilin wrote an analysis article about the poem and sent it to Bo Hua. He was told that his friend Peng organized a Poem society with some other intellectuals,,Peng Yilin wrote an analysis article about the poem and sent it to Bo Hua. He was told that his friend Peng organized a Poem society with some other intellectuals,W0476->SS00154,532,2,,,,en,2018-05-15,MG,2020-04-04->2018-05-15,DP->MG
->,A00406,AG0151->P0175,AT10,W0171->PS00341,,1979,1979,,Peng Yilin wrote an analysis article about the poem and sent it to Bo Hua. He was told that his friend Peng organized a Poem society with some other intellectuals,,Peng Yilin wrote an analysis article about the poem and sent it to Bo Hua. He was told that his friend Peng organized a Poem society with some other intellectuals,W0476->SS00154,532,2,,,,en,2018-05-15,MG,2020-04-04->2018-05-15,DP->MG
->,A00407,AG0122->P0137,AT05,W0554->AW09999,,1970~,1979~,,Fan Qian and his painter friends were searching for the inspiration by van Gogh‘s style,,Fan Qian and his painter friends were searching for the inspiration by van Gogh‘s style,W0485->SS00163,353,1,,unknown work by: AG0320 AF01->unknown work by: P0358 AF01,,en,2018-05-15,MG,2020-04-04->2018-05-15,DP->MG
