act_id,agent,action,act_object,act_target,start,end,narrative_time,site_information,discussion,source,page,fictionality,commentary,note,created,created_by,last_modified,last_modified_by
A00471,AG0117,AT01,W0199,,197x,197x,NULL,SP0001,"Chen Jianhua found himself curious about all kinds of things and so he spent his time in Shanghai Municipal Library (SP0006r)eading various books, this essay collection amongst them. ",W0431,453,NULL,,,2018-06-01,DM,2020-12-19,MG
A00472,AG0103,AT05,W0131,,196x,197x,NULL,SP0055,Han Shaogong describes the workings of the black market during the CR – he mentions that a copy of Shuihu zhuan could be exchanged for ten bandages or one military belt.,W0431,570,NULL,,,2018-06-01,DM,2020-12-19,MG
A00473,AG0134,AT05,W0131,,197x,197x,NULL,,Yan Lianke mentions Shuihu zhuan as one of the great masterpieces of Chinese literature that everyone wanted to have on their shelf at that time.,W0431,391,NULL,,,2018-06-01,DM,2020-04-04,DP
A00474,AG0396,AT05,W0131,,1970,1970,NULL,,"Gao Mobo writes that Shuihu zhuan was confiscated from him during the ""yidasanfan (One Strike-Three Anti Campaign)"" as it was considered as feudalistic book.",W0431,95,NULL,,,2018-06-01,DM,2020-04-04,DP
A00475,AG0009,AT05,W0131,,1971,1971,NULL,,Bei Dao mentions Shuihu zhuan as one of the titles he was required to read in a reading group.,W0431,,NULL,,,2018-06-01,DM,2020-04-04,DP
A00476,AG0052,AT01,W0131,,1953,196x,NULL,,"Chi Zehou cites a fellow soldier remembering that Huang Yongsheng would always keep track of his books, regardless of the situation. Shuihu zhuan was one among them. ",W0456,ONLINE SOURCE,NULL,The text is about the time before the CR when the author was Huang Yongsheng's secretary. He commented on Huang Yongsheng and wrote some impressions.,,2018-06-01,DM,2020-04-04,DP
A00477,AG0045,AT27,W0131,,,,NULL,,"Xie Shengxian, when describing the conditions in the prison (SP0002), uses the metaphor of it being like in the times of Shuihu zhuan. ",W0447,ONLINE SOURCE,NULL,,,2018-06-01,DM,2018-12-19,MG
A00478,AG0103,AT05,W0554,,196x,197x,NULL,SP0055,Han Shaogong describes how he and his friends in the same work team brought different kinds of books and artworks with thems to exchange and discuss together. A collection of Shi Tao’s paintings was amongst them.,W0431,573,NULL,unknown work by: AG0397,,2018-06-01,DM,2020-12-19,MG
A00479,AG0156,AT05,W0200,,1966,1976,NULL,,Song Yongyi mentions it as one of the most important grey-covered books during the CR.,W0435,327,NULL,,,2018-08-04,DM,2020-04-04,DP
A00480,AG0399,AT16,W0200,,1966,1976,NULL,,"Song Yongyi quotes Gao Ruiquan as folllws: “One Chinese scholar, Gao Ruiquan, described how shocked he was when he first read William Lawrence Shirer’s The Rise and Fall of the Third Reich: A History of Nazi Germany: ‘It was like a flash of light across the night sky’. He instantly compared the German fascist movement with China’s Cultural Revolution and found that both led to the same ‘road for ruining a nation though they all obtained fanatical support from the masses at the outset’.”",W0435,327,NULL,,,2018-08-04,DM,2020-04-04,DP
A00481,AG0020,AT01,W0200,,197x,197x,NULL,,Gao Hua admits that of all the books he read in the mid-1970s it was this book and the memoirs of Khrushchev that impressed him most.,W0420,136,NULL,,,2018-08-04,DM,2020-04-04,DP
A00482,AG0104,AT05,W0200,,196x,197x,NULL,,Wang Shiqiang mentions the book as one of the more popular ‘gray cover books’ of the CR.,W0423,78,NULL,,,2018-08-04,DM,2020-04-04,DP
A00483,AG0103,AT05,W0200,,196x,197x,NULL,SP0055,"Han Shaogong mentions that a certain Mr. Yi (易某) was talking with him about the history of militaria and wars, basing his knowledge probably on having read PS00370.",W0419,571,NULL,,,2018-08-04,DM,2020-12-19,MG
A00484,AG0118,AT05,W0200,,1979,1982,NULL,SP0446,Bo Hua describes a reading group he was part of in middle school,W0476,532,NULL,,,2018-08-04,DM,2020-12-19,MG
A00485,AG0310,AT05,W0200,,1971,1980,NULL,,,W0514,172,NULL,,,2018-08-04,DM,2020-04-04,DP
A00486,AG0124,AT05,W0200,,1966,1976,NULL,,Xiao Xiao mentions it as one of the most important neibu books of the CR,W0474,8,NULL,,,2018-08-04,DM,2020-04-04,DP
A00487,AG0123,AT05,W0554,,1966?,1976,NULL,,Bao Kun names Shishkin as one of the Russian painters who were mentioned most often as examples to follow in seminars at Beijing’s Art Academy (SP0005.),W0431,197,NULL,unknown work by: AG0400,,2018-08-05,DM,2020-12-19,MG
A00488,AG0020,AT05,W0201,,197x,197x,NULL,,"Gao Hua writes that he has preserved the pocket edition of this book till present day. Gao Hua said that at Prof. 刘妮娜's home (Russian-born Prof. 刘妮娜, Department of Foreign Languages, Nanjing University (SP0093)) he forgot about the real world and immersed himself in the world of Russian literature. He also mentioned that the warm and comfort atmosphere that he enjoyed at her place is still in his memories.",W0420,137,NULL,,,2018-08-05,DM,2020-12-19,MG
A00489,AG0042,AT22,W0201,,1956,1976,NULL,,"Lin Da quotes Cao Ying, the translator of Solokhov’s book, as follows: ""I was particularly moved by reading ‘Destiny of a Man’ in 1956, and immediately translated it into Chinese. [This interest] was also motivated by my having a deeper feeling about the anti-fascist war, I sincerely hope that human beings will no longer be affected by such atrocities. Yet I never thought that ‘Destiny of a Man’ will be deemed a poisonous weed. I was then persecuted in the Cultural Revolution for the translation of Sholokhov's works and I was on the verge of life and death twice… I was called ‘Sholokhov’s Man in China’ and 'Sholokhov's praiser’.”",W0433,ONLINE SOURCE,NULL,,,2018-08-05,DM,2020-04-04,DP
A00490,AG0114,AT27,W0131,,19XX,19XX,NULL,,Zhang Yang uses PS000259 as a metaphor to describe the atmosphere of a scene.,W0429,30,NULL,,,2018-08-06,DM,2020-04-04,DP
A00491,AG0116,AT01,W0202,,1979,1979,NULL,SP0001,The author has nothing to do during the summer vacation. He reads in the library during the day and takes notes in the meeting room at night.,W0475,562,NULL,,,2018-11-15,DM,2020-12-19,MG
A00492,AG0053,AT01,W0203,,1950..196x,1950..196x,NULL,,he was interested in the classics and read them a lot,W0458,ONLINE SOURCE,NULL,,Added by CW and JH transferred without rechecking requires further checks,2018-11-15,DM,2020-04-04,DP
A00493,AG0188,AT05,W0203,,19xx,19xx,NULL,,unknown,W0454,ONLINE SOURCE,NULL,All data missing in the original dataset,This work probably not exist in the original text please check again.,2018-11-15,DM,2020-04-04,DP
A00494,AG0103,AT23,W0203,,196x,197x,NULL,SP0055,The author heard many stories from an educated youth in his team and those were mainly from these classic works,W0419,571,NULL,,,2018-11-15,DM,2020-12-19,MG
A00495,AG0029,AT17,W0204,,1966,,NULL,,The author recites this item.,W0428,120,NULL,,,2018-11-15,DM,2020-04-04,DP
A00496,AG0038,AT05,W0205,AG0113,1971,1971,NULL,SP0009,Huang Xiaolong was secretly mocking his supervisor Wang while he was showing off his knowledge of classical Chinese literature,W0426,ONLINE SOURCE,NULL,The text recorded the author's experience in a fishing grounds in Sichuan in 1971. Desipte the fact that the high peak of violence in the CR came to an end the checking out the May 16th components just started,read during rustication?,2018-11-17,DM,2020-12-19,MG
A00497,AG0055,AT06,W0206,,1950s,1950s,NULL,,Gu Jiegang was commissioned by Mao Zedong to take charge of the punctuation of this book,W0454,ONLINE SOURCE,NULL,The text records several prominent historians' experiences during the CR,,2018-11-17,DM,2020-04-04,DP
A00498,AG0124,AT05,W0207,,1966,1976,NULL,,Xiao Xiao mentions it as one of the most important neibu books of the CR,W0474,7-10,NULL,,,2018-11-17,DM,2020-04-04,DP
A00499,AG0156,AT05,W0207,,1966,1976,NULL,,Song Yongyi mentions it as one of the most important grey-covered books during the CR,W0435,327,NULL,,,2018-11-17,DM,2020-04-04,DP
A00500,AG0011,AT05,W0639,,19xx,19xx,NULL,,unknown,W0477,57,NULL,All data missing in the original dataset,Added by JH transferred without rechecking requires further checks,2018-11-17,DM,2020-04-04,DP
A00501,AG0103,AT05,W0069,,1972,1972,NULL,,"The author introduced the categories of those internal published books. The year 1972 was overwhelming to those book lovers, for they sensed there seemed to be a chance of opening  up.",W0419,581,NULL,,,2018-04-11,WH,2020-04-04,DP
A00502,AG0009,AT01,W0070,,"[1949..1966, 1967]","[1949..1966, 1967]",NULL,,"Bei Dao mentions that before the rustication, they have already started to read extensively. First, under the influence of his classmates he read books on politics, economics and history, in order to devote his life to the revolution. After he became a builder, he started to be interested in the literary works. At that time, the most popular books were the 'neibu' books, namely yellow-covered books. Ehrenburg's work was among the most influential for Bei Dao and he read this piece many times, it opened a window that lead to a world so different from his real life.  As it seems to him now, Ehrenburg's piece is not that good, but at those times it served as a guidebook for 'searching' young people and gave them an ability to dream. Bei Dao's memoirs are cited from Jian Ying 建英 2006 (Wang Shiqiang 2014: 88).",W0487,46,NULL,,,2018-04-26,WH,2020-04-04,DP
A00503,AG0626,AT01,W0414,,19xx,19xx,NULL,,The author remembered that there was a worker whose surname was Zhu. He wrote many poems and mentioned these poets very often,W0419,583,NULL,,,2018-04-26,WH,2020-04-04,DP
A00504,AG0018,AT05,W0414,,19xx,19xx,NULL,,He mentions that Eliot’s poems are of his book list.,W0480,311,NULL,,,2018-04-26,WH,2020-04-04,DP
A00505,AG0003,AT17,W0217,,[1963..1965?],[1963..1965?],NULL,,Zhang Langlang recited the poems for his brother and his friends during their summer vocation.,W0439,46,NULL,,,2018-04-26,WH,2020-04-04,DP
A00506,AG0626,AT01,W0074,,1976~,1976~,NULL,SP0439,"""A young factory lady was reading this book, and she admired Jiang Qing for she was considered as the model of women at that time. But later after the book was seen nowhere from this lady.",W0478,335,NULL,,,2018-04-26,WH,2020-12-19,MG
A00507,AG0061,AT01,W0074,,1969,1970,NULL,SP0002,"She describes the personal gain she gots out of reading (more self-confidence, political understanding of her past, hope)",W0440,461,NULL,,,2018-04-26,WH,2020-12-09,MG
A00508,AG0115,AT25,W0218,,1968~,1968~,NULL,SP0156,After reading this work the author could not understand  why  there were still class and class struggle under a socialist system.,W0471,418,NULL,,,2018-04-26,WH,2020-12-19,MG
A00509,AG0626,AT03,W0218,AG0061,1973,1974,NULL,SP0002,The book was given to her while she was in prison. First in Chinese and later in German.,W0440,,NULL,,,2018-05-02,WH,2020-12-09,MG
A00510,AG0122,AT05,W0414,,19xx,19xx,NULL,,He painted in Fechin's style.,W0485,351,NULL,,,2018-05-03,WH,2020-04-04,DP
A00511,AG0196,AT05,W0219,,1966,1966,NULL,,His grandfather used to have this book.,W0489,,NULL,,,2018-05-03,WH,2020-04-04,DP
A00512,AG0116,AT01,W0220,,1973,1973,NULL,SP0442,He reads this book secretly at home. It was perhaps from the library of his father's institute.,W0475,554,NULL,,,2018-05-03,WH,2020-12-19,MG
A00513,AG0116,AT01,W0414,,19xx,19xx,NULL,,He read Feng's poem after growing up. He was surprised compared with Feng's image.,W0475,560,NULL,,,2018-05-03,WH,2020-04-04,DP
A00514,AG0033,AT05,W0221,,19xx,19xx,NULL,,"While reading the book Zhongguo xin shixuan, the author recognized that this poem was adapted from the novel Soushen ji.",W0443,,NULL,,,2018-05-03,WH,2020-04-04,DP
A00515,AG0003,AT01,W0156,,1961,1963?,NULL,SP0003,He would like to search book in old bookstores. He found this book there and read it later.,W0439,38,NULL,,,2018-05-03,WH,2020-12-19,MG
A00516,AG0033,AT01,W0222,,19xx,19xx,NULL,,The author sought the information of the temples in Chengdu in this book.,W0443,,NULL,,,2018-05-03,WH,2020-04-04,DP
A00517,AG0011,AT05,W0554,,1968..,1968..,NULL,,The author was astonished when she saw the works of these renowned painters in the houses of her friends whose parents are painters as well.,W0477,56,NULL,,,2018-06-21,WH,2020-04-04,DP
A00518,AG0032,AT05,W0223,AG0031,1969..,1969..,NULL,SP0002,The author met Zhu Shixian in the prison. Zhu told him about this text from a high school textbook.,W0436,ONLINE SOURCE,NULL,,,2018-06-21,WH,2020-12-19,MG
A00519,AG0054,AT13,W0224,,195x,195x,NULL,,He accomplished the book series.,W0454,ONLINE SOURCE,NULL,,,2018-06-21,WH,2020-04-04,DP
A00520,AG0031,AT01,W0225,,1969..,1969..,NULL,SP0002,Huang got in to the Sichuan Second Prison in 1969 Summer due to his diary. He was sent to labor reform and he met Zhu Shixian there. The text is about their lives in the prison. They recall and read many literature in the prison. Zhu suicided in the prison.,W0436,ONLINE SOURCE,NULL,,,2018-07-09,WH,2020-12-19,MG
A00521,AG0032,AT05,W0225,AG0031,19xx,19xx,NULL,SP0002,The author met Zhu Shixian in the prison. Zhu told him about this text from a high school textbook.,W0436,ONLINE SOURCE,NULL,,,2018-07-09,WH,2020-12-19,MG
A00522,AG0054,AT13,W0226,,195x,195x,NULL,,He accomplished the book series.,W0454,ONLINE SOURCE,NULL,,,2018-07-09,WH,2020-04-04,DP
A00523,AG0054,AT13,W0227,,195x,195x,NULL,,He accomplished the book series.,W0454,ONLINE SOURCE,NULL,,,2018-07-10,WH,2020-04-04,DP
A00524,AG0054,AT13,W0228,,195x,195x,NULL,,He accomplished the book series.,W0454,ONLINE SOURCE,NULL,,,2018-07-10,WH,2020-04-04,DP
A00525,AG0045,AT01,W0229,,1971,1971,NULL,,After reading the Little Red Book for few days began the author and other members of the study small group reading other books.,W0447,ONLINE SOURCE,NULL,,,2018-07-10,WH,2020-04-04,DP
A00526,AG0106,AT05,W0230,,1966..1970~,1966..1970~,NULL,SP0436,Shu Ting relates that she read the Novel as she was hit by a bullet fired by red guards invading the physics building,W0425,300,NULL,,unknown place of rustication,2018-07-12,WH,2020-12-19,MG
A00527,AG0103,AT05,W0230,,196x,196x,NULL,SP0446,After many years he remembered the books he read at school when he read this book although he did not even know the author’s name or the titles.,W0419,565,NULL,,,2018-07-12,WH,2020-12-19,MG
A00528,AG0626,AT03,W0230,AG0103,19xx,19xx,NULL,SP0055,There was an educated youth whose father was a cadre offered many aesthetic books to the author.,W0419,583,NULL,,,2018-07-12,WH,2020-12-19,MG
A00601,AG0116,AT01,W0184,,1978,1978,NULL,,Someone recommended him to borrow this book,W0475,560f,NULL,,,2018-06-01,MG,2020-04-04,DP
A00602,AG0033,AT22,W0187,,1961..1962,1961..1962,NULL,,Zhou reminds this tale seeing his brother,W0443,ONLINE SOURCE,NULL,,,2018-06-04,MG,2020-04-04,DP
A00603,AG0041,AT01,W0414,,1966..1976,1966..1976,NULL,SP0015,she writes that now she can only recall having secretly read works from Hugo and Pushkin at that time,W0446,ONLINE SOURCE,NULL,unknown work by: AG0286,,2018-06-04,MG,2021-01-02,MG
A00604,AG0018,AT05,W0414,,196x..197x,196x..197x,NULL,,unknown,W0480,311,NULL,unknown work by: AG0286,pls check the source again,2018-06-04,MG,2020-04-04,DP
A00605,AG0626,AT31,W0382,AG0003,1970?,1970?,NULL,,The author teaches a young man these poems and the young man writes them down.,W0486,112,NULL,,,2018-06-04,MG,2020-04-04,DP
A00606,AG0103,AT02,W0185,,197x,197x,NULL,SP0055,Han and friends exchanged and  transcribed poems together,W0419,578,NULL,,,2018-06-04,MG,2021-01-02,MG
A00607,AG0103,AT03,W0185,AG0626,197x,197x,NULL,SP0055,Han and friends exchanged and  transcribed poems together,W0419,578,NULL,,,2018-06-04,MG,2021-01-02,MG
A00608,AG0125,AT05,W0554,,197x,197x,NULL,SP0005,Chen reports that this was popular among underground circles in Beijing,W0479,75,NULL,unknown work by: AG0349 AF05,,2018-06-04,MG,2021-01-02,MG
A00609,AG0626,AT05,W0414,,196x..197x,196x..197x,NULL,,Han remembers a worker who frequently mentioned Pound,W0419,583,NULL,unknown work by: AG0350 G10,,2018-06-04,MG,2020-04-04,DP
A00610,AG0117,AT11,W0189,,1975..1979,1975..1979,NULL,,Chen started to translate works by Poe,W0430,454,NULL,,,2018-06-05,MG,2020-04-04,DP
A00611,AG0117,AT11,W0414,,1975..1979,1975..1979,NULL,,Chen started to translate works by Poe,W0430,454,NULL,unknown work by: AG0351,,2018-06-05,MG,2020-04-04,DP
A00612,AG0118,AT01,W0190,,1970..1979,1970..1979,NULL,SP0446,Bo and his middle school classmates were reading a lot of books in a private study group,W0476,531,NULL,,,2018-06-05,MG,2021-01-02,MG
A00613,AG0115,AT16,W0231,,1967~,1967~,NULL,SP0156,Influenced the way Xu perceived the role of the individual,W0471,417,NULL,,,2018-06-05,MG,2021-01-02,MG
A00614,AG0115,AT16,W0232,,1967~,1967~,NULL,SP0156,Influenced the way Xu perceived the role of the individual,W0471,417,NULL,,,2018-06-05,MG,2021-01-02,MG
A00615,AG0114,AT05,W0414,,196x..197x,196x..197x,NULL,,Zhang mentions Plato as an item which appears in his uncle‘s notebook,W0429,52,NULL,unknown work by: AG0354,,2018-06-06,MG,2020-04-04,DP
A00616,AG0106,AT01,W0233,,1969~,1972~,NULL,SP0436,A friend (possibly penpal) recommended to read Plato. Hard reading which she forgot completely afterwards,W0425,301,NULL,,,2018-06-06,MG,2021-01-02,MG
A00617,AG0118,AT16,W0414,,1979~,1979~,NULL,,Bo was influenced by Plath and adapted her style in his early work,W0476,536,NULL,unknown work by: AG0355 G10,,2018-06-06,MG,2020-04-04,DP
A00618,AG0359,AT01,W0234,,197x,197x,NULL,,Ma read this prose to Bo Hua and others,W0476,542,NULL,,,2018-06-11,MG,2020-04-04,DP
A00619,AG0118,AT23,W0234,,197x,197x,NULL,,Ma read this prose to Bo Hua and others,W0476,542,NULL,,,2018-06-11,MG,2020-04-04,DP
A00620,AG0118,AT05,W0235,,197x,197x,NULL,,Bo mentions this as a well-known and aesthetically influential book among the youth,W0476,541,NULL,,,2018-06-11,MG,2020-04-04,DP
A00621,AG0116,AT16,W0236,,1975,1975,NULL,,This novel influenced Li‘s understanding of literature and society,W0475,554,NULL,,,2018-06-11,MG,2020-04-04,DP
A00622,AG0103,AT01,W0414,,196x..197x,196x..197x,NULL,,unknown,W0419,583,NULL,unknown work by: AG0362 G29,,2018-06-12,MG,2020-04-04,DP
A00623,AG0626,AT03,W0414,AG0103,196x..197x,196x..197x,NULL,SP0055,An educated youth had access to books via his father (cadre) and handed some of them over to Han.,W0419,583,NULL,unknown work by: AG0362 G29,,2018-06-12,MG,2021-01-02,MG
A00624,AG0134,AT05,W0548,,196x..197x,196x..197x,NULL,,unknown,W0482,386,NULL,,for substantial discussion pls check the source again,2018-06-12,MG,2020-04-04,DP
A00625,AG0033,AT01,W0237,,1955~,1955~,NULL,,unknown,W0443,ONLINE SOURCE,NULL,,,2018-06-12,MG,2020-04-04,DP
A00626,AG0103,AT05,W0414,,1972~,1972~,NULL,,unknown,W0419,580,NULL,unknown work by: AG0198,,2018-06-12,MG,2020-04-04,DP
A00627,AG0103,AT05,W0549,,196x..197x,196x..197x,NULL,,Han mentions that the educated youth also transcribed songs in their notebooks,W0419,578,NULL,,,2018-06-12,MG,2020-04-04,DP
A00628,AG0123,AT05,W0238,,1968,1968,NULL,,unknown,W0438,189,NULL,,,2018-06-18,MG,2020-04-04,DP
A00629,AG0116,AT01,W0238,,196x..197x,196x..197x,NULL,,The author remembered that Mr. Li Shu praised this book greatly.,W0475,555,NULL,,,2018-06-18,MG,2020-04-04,DP
A00630,AG0020,AT01,W0238,,1970..1975,1970..1975,NULL,,Gao Hua mentioned that this book was one of the most influential for him during early/ mid 1970s.,W0420,136,NULL,,,2018-06-18,MG,2020-04-04,DP
A00631,AG0033,AT01,W0120,,1955~,1955~,NULL,,unknown,W0443,ONLINE SOURCE,NULL,,,2018-06-19,MG,2020-04-04,DP
A00632,AG0114,AT01,W0120,,1952~,1952~,NULL,,unknown,W0429,56,NULL,,,2018-06-19,MG,2020-04-04,DP
A00633,AG0103,AT01,W0120,,1967,1967,NULL,,unknown,W0419,569,NULL,,,2018-06-19,MG,2020-04-04,DP
A00634,AG0103,AT12,W0120,,1967..197x,1967..197x,NULL,SP0442,Han‘s home was plundered and his collections were confiscated by Red Guards,W0419,569,NULL,,,2018-06-19,MG,2021-01-02,MG
A00635,AG0114,AT05,W0414,,196x..197x,196x..197x,NULL,,Zhang mentions it as item listed in his uncle‘s notebook,W0429,52,NULL,unknown work by: AG0162,,2018-06-19,MG,2020-04-04,DP
A00636,AG0369,AT01,W0239,,1963,1963,NULL,,The Lei Feng diary was read all over the country,W0518,132,NULL,,,2018-06-19,MG,2020-04-04,DP
A00637,AG0048,AT01,W0123,,1970~,1970~,NULL,SP0016,he read the book aside the field during rustication,W0453,ONLINE SOURCE,NULL,,,2018-06-25,MG,2021-01-02,MG
A00638,AG0020,AT05,W0123,,196x..197x,196x..197x,NULL,,unknown,W0420,137,NULL,,,2018-06-25,MG,2020-04-04,DP
A00639,AG0118,AT01,W0123,,1970~,1970~,NULL,SP0446,Bo and his middle school classmates were reading a lot of books in a private study group,W0476,532,NULL,,,2018-06-25,MG,2021-01-02,MG
A00640,AG0061,AT01,W0123,,1969,1970,NULL,SP0002,By reading it she got more self-confident and aware of political occurrences in the past,W0440,461,NULL,,,2018-06-25,MG,2020-12-09,MG
A00641,AG0249,AT11,W0124,,1960..1966,1960..1966,NULL,,Translated some of Lermontov‘s work,W0433,ONLINE SOURCE,NULL,,,2018-06-25,MG,2020-04-04,DP
A00642,AG0249,AT11,W0414,,1960..1966,1960..1966,NULL,,Translated some of Lermontov‘s work,W0433,ONLINE SOURCE,NULL,unknown work by: AG0248,,2018-06-25,MG,2020-04-04,DP
A00643,AG0029,AT01,W0414,,196x..1966,196x..1966,NULL,,Wu refers to this title as a book he read right before the CR,W0428,116-117,NULL,unknown work by: AG0248,,2018-06-25,MG,2020-04-04,DP
A00644,AG0118,AT04,W0414,,1970~,1970~,NULL,,Bo started to write poems in middle school,W0476,531,NULL,unknown work by: AG0248,,2018-06-25,MG,2020-04-04,DP
A00645,AG0143,AT03,W0414,AG0029,196x..1966,196x..1966,NULL,SP0442,Wu Hong had access to many books via his mother‘s private collection,W0428,116-117,NULL,unknown work by: AG0248,,2018-06-25,MG,2021-01-02,MG
A00646,AG0187,AT01,W0241,,195x..19xx,195x..19xx,NULL,,Li used to like to read Li Ping‘s When the Sunset Disappears,W0460,ONLINE SOURCE,NULL,,,2018-06-25,MG,2020-04-04,DP
A00647,AG0114,AT45,W0700,,196x..197x,196x..197x,NULL,SP0002,unknown,W0429,207,NULL,,,2018-06-25,MG,2021-02-23,MG
A00648,AG0032,AT22,W0240,,1969~,1969~,NULL,SP0002,In prison Huang and his friend Zhu recalled many stories from books they had read before,W0436,ONLINE SOURCE,NULL,,,2018-06-25,MG,2021-01-02,MG
A00649,AG0031,AT22,W0240,,1969~,1969~,NULL,SP0002,In prison Huang and his friend Zhu recalled many stories from books they had read before,W0436,ONLINE SOURCE,NULL,,,2018-06-25,MG,2021-01-02,MG
A00650,AG0106,AT01,W0414,,1969~,1972~,NULL,SP0436,A friend (possibly penpal) recommended to read Li. Was among the favorites of her readings in classical literature,W0425,301,NULL,unknown work by: AG0371 G13,,2018-06-25,MG,2021-01-02,MG
A00651,AG0124,AT05,W0151,,1966,1976,NULL,,Xiao Xiao mentions it as one of the most important neibu books of the CR,W0474,7-10,NULL,,,2019-01-07,DM,2020-04-04,DP
A00652,AG0114,AT05,W0414,,19XX,19XX,NULL,,List of author names of which Zhang's uncle had made notes in his notebook,W0429,52,NULL,unknown work by: AG0408,,2019-01-07,DM,2020-04-04,DP
A00653,AG0197,AT01,W0269,,1962?,1970?,NULL,,The educated youths read many foreign books in underground salong during the 1978s secretly,W0490,249,NULL,,read during rustication?,2019-01-07,DM,2021-01-02,MG
A00654,AG0124,AT05,W0269,,1966,1976,NULL,,Xiao Xiao mentions it as one of the most important neibu books of the CR,W0474,7-10,NULL,,,2019-01-07,DM,2020-04-04,DP
A00655,AG0156,AT05,W0269,,1966,1976,NULL,,Song Yongyi mentions it as one of the most important grey-covered books during the CR,W0435,327,NULL,,,2019-01-07,DM,2020-04-04,DP
A00656,AG0103,AT05,W0269,,1972,1976,NULL,SP0055,The author mentions it among others as an important reading for him and his zhiqing fellows.,W0421,581,NULL,,,2019-01-07,DM,2021-01-02,MG
A00657,AG0057,AT01,W0207,,1966,1967~,NULL,,the text is about the author's experience when he was a student at the Beijing No. 4 High School (SP0005.) He encountered the May 17 Notification and took part in the Red guards raging the campus and households. He wrote that beating people to death was entirelyrmal at that time and lots of people also suicided,W0427,ONLINE SOURCE,NULL,,Added by unknown transferred without rechecking requires further checks,2019-01-07,DM,2021-01-02,MG
A00658,AG0310,AT01,W0208,,1971~,1971~,NULL,,He was reading the book before he was arrested.,W0514,168f,NULL,,,2019-01-08,DM,2020-04-04,DP
A00659,AG0118,AT01,W0209,,1979,1979,NULL,SP0446,The author and his classmates in middle school founded a private study group and they used to read a lot of books they could reach at that time.,W0476,532,NULL,,,2019-01-08,DM,2021-01-02,MG
A00670,AG0103,AT05,W0209,,1972,1976,NULL,SP0055,The author mentions it among others as an important reading for him and his zhiqing fellows.,W0421,573,NULL,,,2019-01-08,DM,2021-01-02,MG
A00671,AG0029,AT01,W0414,,1966?,1966?,NULL,SP0442,From a private collection of his (Wu Hong's) mother. Wu Hong has discovered this author himself. Wu Hong refers to his readings during the period right before the CR ( and when his parents were often absent from home) as peculiar. Till the present day Wu Hong finds it difficult to access what he has obtain from his readings at that time,W0428,116f,NULL,unknown work by: AG0411,,2019-01-08,DM,2021-01-02,MG
A00672,AG0031,AT05,W0210,,1969..,1969..,NULL,SP0002,Huang got in to the Sichuan Second Prison in 1969 Summer due to his diary. He was sent to labor reform and he met Zhu Shixian 朱时贤 there. The text is about their lives in the prison. They recall and read many literature in the prison. Zhu suicided in the prison. While Zhu Shixian's 朱时贤 dead body was being checked Huang recalled the soviet book’s title,W0436,ONLINE SOURCE,NULL,,,2019-01-08,DM,2020-04-04,DP
A00673,AG0105,AT01,W0211,,1974~,1974~,NULL,SP0436,This work supported the process of alienation towards her parents and giving Xu a more rebellious edge,W0432,159,NULL,,,2019-01-08,DM,2021-01-02,MG
A00674,AG0020,AT01,W0211,,1966,1976,NULL,,unknown,W0420,134,NULL,,Transferred without rechecking requires further checks,2019-01-08,DM,2020-04-04,DP
A00675,AG0214,AT01,W0211,,1966,1966,NULL,,unknown,W0495,94,NULL,,Transferred without rechecking requires further checks,2019-01-08,DM,2020-04-04,DP
A00676,AG0103,AT01,W0211,,1968?,1974?,NULL,SP0055,Some educated youth exchanged and read this book and if they were inquired about by the local cadres they answer would be 'two line struggle' and the author of the book is the uncle of Marx. And those cadres would care no more because they knew nothing about it.,W0421,574,NULL,,Transferred without rechecking requires further checks,2019-01-08,DM,2021-01-02,MG
A00677,AG0029,AT01,W0414,,1966?,1966?,NULL,SP0442,From a private collection of his (Wu Hong's) mother. Wu Hong has discovered this author himself. Wu Hong refers to his readings during the period right before the CR ( and when his parents were often absent from home) as peculiar. Till the present day Wu Hong finds it difficult to access what he has obtain from his readings at that time,W0428,116f,NULL,unknown work by: AG0264,,2019-01-08,DM,2021-01-02,MG
A00678,AG0130,AT05,W0211,,1966,1976,NULL,,Perry Link mentions that The Red and the Black ‘became well known and an intensely sought prize during the Cultural Revolution when Jiang Qing listed it with seven other works as highly recommended reading.’ This explains the post-CR success of the book.’,W0434,170,NULL,,Transferred without rechecking requires further checks,2019-01-08,DM,2020-04-04,DP
A00679,AG0124,AT05,W0212,,1966,1976,NULL,,Xiao Xiao mentions it as one of the most important neibu books of the CR,W0474,7-10,NULL,,,2019-01-08,DM,2020-04-04,DP
A00680,AG0020,AT01,W0212,,1966,1976,NULL,,Gao Hua mentioned this book as one those that informed his opinion about the real life in the Soviet Union,W0420,134,NULL,,,2019-01-08,DM,2020-04-04,DP
A00681,AG0045,AT01,W0213,,1970~,1970~,NULL,,Xie read the book to kill time while isolated examination.,W0447,ONLINE SOURCE,NULL,,,2019-01-08,DM,2020-04-04,DP
A00682,AG0626,AT31,W0382,AG0003,1970?,1970?,NULL,,The author teaches a young man these poems and the young man writes them down.,W0486,112,NULL,,,2019-01-08,DM,2020-04-04,DP
A00683,AG0123,AT05,W0554,,..1966,..1966,NULL,,At that time Chinese painting lovers liked the style of Russia and the former Soviet Union.,W0438,197,NULL,unknown work by: AG0415,,2019-01-08,DM,2020-04-04,DP
